track,dataset,dr_method,cluster_method,sampler,baseline,best,gain,ari_tuned,ari_base,y_actually_plotted,ari_gain_corrected
A,Wine quality (Low),UMAP,HDBSCAN,TPE,-0.3959609423413301,-0.1536788616806831,0.242282080660647,0.542407273660562,,0.542407273660562,
A,Wine quality (Low),UMAP,DBSCAN,TPE,-0.4555907490351745,-0.2909469708311022,0.1646437782040722,-0.0174362917659387,,-0.0174362917659387,
A,Wine quality (Low),UMAP,KMeans,TPE,-0.5574318991132484,-0.3646238882321372,0.1928080108811112,0.085634646070687,,0.085634646070687,
A,Wine quality (Low),UMAP,GMM,TPE,-0.392282045056161,-0.3714748129514849,0.020807232104676,0.0900796415931822,,0.0900796415931822,
A,Wine quality (Low),t-SNE,HDBSCAN,TPE,-0.2473796829400802,-0.2081881299887435,0.0391915529513367,0.8397062052803372,,0.8397062052803372,
A,Wine quality (Low),t-SNE,DBSCAN,TPE,-1.0,-0.32735600417922,0.6726439958207799,0.8378467479530448,,0.8378467479530448,
A,Wine quality (Low),t-SNE,KMeans,TPE,-0.4981709878632446,-0.3630943328424962,0.1350766550207484,0.1138043124057681,,0.1138043124057681,
A,Wine quality (Low),t-SNE,GMM,TPE,-0.4713425629863582,-0.370687217977148,0.1006553450092102,0.0706711137600968,,0.0706711137600968,
A,Wine quality (Low),PCA,HDBSCAN,TPE,-0.2715835563760942,0.2340871780166659,0.5056707343927601,0.220536637019662,,0.220536637019662,
A,Wine quality (Low),PCA,DBSCAN,TPE,-0.0625876584795578,0.0947577180831608,0.1573453765627186,0.6169526553081526,,0.6169526553081526,
A,Wine quality (Low),PCA,KMeans,TPE,-0.5320382686538703,-0.3528868122826989,0.1791514563711713,0.0931484162412267,,0.0931484162412267,
A,Wine quality (Low),PCA,GMM,TPE,-0.405657504632239,-0.4017151417165723,0.0039423629156667,0.1139911664104677,,0.1139911664104677,
A,Wine quality (Low),MDS,HDBSCAN,TPE,-0.1319106538692471,0.170929866161399,0.3028405200306461,0.2282149027614535,,0.2282149027614535,
A,Wine quality (Low),MDS,DBSCAN,TPE,-0.134798634269094,0.0948699774111994,0.2296686116802935,0.4585985569022331,,0.4585985569022331,
A,Wine quality (Low),MDS,KMeans,TPE,-0.5056724259459133,-0.3957839526604015,0.1098884732855118,0.0718780141761947,,0.0718780141761947,
A,Wine quality (Low),MDS,GMM,TPE,-0.5973748698872547,-0.3834796600890842,0.2138952097981705,0.0748722262010383,,0.0748722262010383,
