track,dataset,dr_method,cluster_method,objective,sampler,baseline,best,gain,gain_pct,best_params,tunable,dbcv_embedded,silhouette,ari,nmi,trustworthiness,continuity,stress,n_clusters,noise_frac
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,-0.39596094234133017,-0.15367886168068315,0.24228208066064702,61.18837863856598,"{""umap_n_neighbors"": 22, ""umap_min_dist"": 0.4753571532049581, ""n_components"": 9, ""hclust_min_cluster_size"": 31, ""hclust_min_samples"": 4}",True,0.20297529670121262,0.27881730307155184,0.542407273660562,0.5877964165248845,,,,2.0,0.19
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,Random,-0.39596094234133017,-0.1947210936057156,0.20123984873561457,50.82315633094433,"{""umap_n_neighbors"": 22, ""umap_min_dist"": 0.4753571532049581, ""n_components"": 9, ""hclust_min_cluster_size"": 31, ""hclust_min_samples"": 4}",True,0.1432467479051464,0.1929091270214742,0.1968520317870515,0.3459895890006697,,,,5.0,0.382
A,Wine quality (Low),UMAP,DBSCAN,dbcv,TPE,-0.45559074903517455,-0.29094697083110227,0.16464377820407228,36.13852532184773,"{""umap_n_neighbors"": 5, ""umap_min_dist"": 0.48495492608099716, ""n_components"": 10, ""dbscan_eps"": 1.1404616423235532, ""hclust_min_samples"": 6}",True,0.8961070603300602,0.3098987735294596,-0.017436291765938798,0.00980674836162103,,,,2.0,0.01
A,Wine quality (Low),UMAP,DBSCAN,dbcv,Random,-0.45559074903517455,-0.2938427008840324,0.16174804815114213,35.50292636399738,"{""umap_n_neighbors"": 5, ""umap_min_dist"": 0.48495492608099716, ""n_components"": 10, ""dbscan_eps"": 1.1404616423235532, ""hclust_min_samples"": 6}",True,0.7662118754352808,0.30970356755181605,-0.018468130473002383,0.01206887175972243,,,,2.0,0.002
A,Wine quality (Low),UMAP,KMeans,dbcv,TPE,-0.5574318991132484,-0.3646238882321372,0.1928080108811112,34.588621711069344,"{""umap_n_neighbors"": 12, ""umap_min_dist"": 0.07799726016810132, ""n_components"": 2, ""cluster_n_clusters"": 14}",True,-0.09110081134577339,0.10277650459517307,0.085634646070687,0.3235190827086033,,,,14.0,0.0
A,Wine quality (Low),UMAP,KMeans,dbcv,Random,-0.5574318991132484,-0.3548158772642145,0.20261602184903393,36.34812111961146,"{""umap_n_neighbors"": 7, ""umap_min_dist"": 0.4744427686266666, ""n_components"": 11, ""cluster_n_clusters"": 13}",True,-0.1527250450620992,0.12063029402696765,0.08801102701090552,0.3174433167670282,,,,13.0,0.0
A,Wine quality (Low),UMAP,GMM,dbcv,TPE,-0.392282045056161,-0.37147481295148493,0.020807232104676054,5.304151022690113,"{""umap_n_neighbors"": 12, ""umap_min_dist"": 0.07799726016810132, ""n_components"": 2, ""gmm_n_components"": 14}",True,-0.09471135781458415,0.09811901846215922,0.09007964159318223,0.30860186968114156,,,,14.0,0.0
A,Wine quality (Low),UMAP,GMM,dbcv,Random,-0.392282045056161,-0.33957627467713886,0.05270577037902213,13.435682576671722,"{""umap_n_neighbors"": 12, ""umap_min_dist"": 0.07799726016810132, ""n_components"": 2, ""gmm_n_components"": 14}",True,0.10075506716325697,0.09806103086737514,0.08159731340444026,0.30320455014891756,,,,14.0,0.0
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,TPE,-0.24737968294008025,-0.20818812998874353,0.03919155295133672,15.842672480435514,"{""tsne_perplexity"": 32.0501755284444, ""tsne_learning_rate"": 710.9918520180851, ""hclust_min_cluster_size"": 3, ""hclust_min_samples"": 25}",True,0.30006181930280995,0.29187259722283426,0.8397062052803372,0.7703192006707162,,,,2.0,0.05
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,Random,-0.24737968294008025,-0.20818812998874353,0.03919155295133672,15.842672480435514,"{""tsne_perplexity"": 32.0501755284444, ""tsne_learning_rate"": 710.9918520180851, ""hclust_min_cluster_size"": 3, ""hclust_min_samples"": 25}",True,0.30006181930280995,0.29187259722283426,0.8397062052803372,0.7703192006707162,,,,2.0,0.05
