track,dataset,dr_method,cluster_method,objective,sampler,trial,value,best_so_far
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,0,-0.15367886168068315,-0.15367886168068315
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,1,-0.3600100122296017,-0.15367886168068315
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,2,-0.2089969471087526,-0.15367886168068315
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,3,-0.39596094234133017,-0.15367886168068315
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,4,-0.33949456344498674,-0.15367886168068315
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,5,-0.47134256298635824,-0.15367886168068315
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,6,-0.47134256298635824,-0.15367886168068315
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,7,-0.3914754159082625,-0.15367886168068315
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,8,-0.34810728593618934,-0.15367886168068315
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,9,-0.42129913925458606,-0.15367886168068315
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,Random,0,-0.1947210936057156,-0.1947210936057156
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,Random,1,-0.3600100122296017,-0.1947210936057156
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,Random,2,-0.4956509888736631,-0.1947210936057156
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,Random,3,-0.3411427173908317,-0.1947210936057156
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,Random,4,-0.4045256911604763,-0.1947210936057156
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,Random,5,-0.47134256298635824,-0.1947210936057156
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,Random,6,-0.4717638579575182,-0.1947210936057156
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,Random,7,-0.47134256298635824,-0.1947210936057156
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,Random,8,-0.3600100122296017,-0.1947210936057156
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,Random,9,-0.34101238323949884,-0.1947210936057156
A,Wine quality (Low),UMAP,DBSCAN,dbcv,TPE,0,-1.0,-1.0
A,Wine quality (Low),UMAP,DBSCAN,dbcv,TPE,1,-0.3600100122296017,-0.3600100122296017
