dataset,method,seed,layers,region,region_def,cond,n,k,trustworthiness,continuity,mrre_false,mrre_missing,stress
Concentric rings (Low),PCA,0,2,leaf0,hier_leaf,hier,22,10,1.0,1.0,1.0,1.0,2.925015961844482e-15
Concentric rings (Low),PCA,0,2,leaf0,hier_leaf,flat,22,10,1.0,1.0,1.0,1.0,7.418350175664702e-15
Concentric rings (Low),PCA,0,2,leaf1,hier_leaf,hier,42,20,1.0,1.0,1.0,1.0,1.979832503028362e-15
Concentric rings (Low),PCA,0,2,leaf1,hier_leaf,flat,42,20,1.0,1.0,1.0,1.0,2.191707173151865e-15
Concentric rings (Low),PCA,0,2,leaf2,hier_leaf,hier,25,12,1.0,1.0,1.0,1.0,1.5810487122113938e-15
Concentric rings (Low),PCA,0,2,leaf2,hier_leaf,flat,25,12,1.0,1.0,1.0,1.0,2.0365353454876523e-15
Concentric rings (Low),PCA,0,2,leaf3,hier_leaf,hier,16,7,1.0,1.0,1.0,1.0,9.0433333912979e-15
Concentric rings (Low),PCA,0,2,leaf3,hier_leaf,flat,16,7,1.0,1.0,1.0,1.0,1.1698676531497353e-14
Concentric rings (Low),PCA,0,2,leaf4,hier_leaf,hier,19,9,1.0,1.0,1.0,1.0,4.640148956431136e-15
Concentric rings (Low),PCA,0,2,leaf4,hier_leaf,flat,19,9,1.0,1.0,1.0,1.0,8.935562167143326e-15
Concentric rings (Low),PCA,0,2,leaf5,hier_leaf,hier,16,7,1.0,1.0,1.0,1.0,8.958909929914533e-15
Concentric rings (Low),PCA,0,2,leaf5,hier_leaf,flat,16,7,1.0,1.0,1.0,1.0,1.120042373005499e-14
Concentric rings (Low),PCA,0,2,leaf6,hier_leaf,hier,29,14,1.0,1.0,1.0,1.0,3.0151079373672952e-15
Concentric rings (Low),PCA,0,2,leaf6,hier_leaf,flat,29,14,1.0,1.0,1.0,1.0,7.075041348606405e-15
Concentric rings (Low),PCA,0,2,leaf7,hier_leaf,hier,41,20,1.0,1.0,1.0,1.0,1.6992167244040272e-15
Concentric rings (Low),PCA,0,2,leaf7,hier_leaf,flat,41,20,1.0,1.0,1.0,1.0,1.2094828761753656e-15
Concentric rings (Low),PCA,0,2,leaf8,hier_leaf,hier,26,12,1.0,1.0,1.0,1.0,4.112124907496369e-15
Concentric rings (Low),PCA,0,2,leaf8,hier_leaf,flat,26,12,1.0,1.0,1.0,1.0,8.897952868901604e-15
Concentric rings (Low),PCA,0,2,leaf9,hier_leaf,hier,27,13,1.0,1.0,1.0,1.0,1.6752158006577856e-15
Concentric rings (Low),PCA,0,2,leaf9,hier_leaf,flat,27,13,1.0,1.0,1.0,1.0,4.5740738715302796e-15
Concentric rings (Low),PCA,0,2,leaf10,hier_leaf,hier,22,10,1.0,1.0,1.0,1.0,1.1321971837085259e-15
Concentric rings (Low),PCA,0,2,leaf10,hier_leaf,flat,22,10,1.0,1.0,1.0,1.0,1.5252069365002176e-15
