dataset,method,region_def,metric,n_pairs,median_delta,win_rate,wilcoxon_p,rank_biserial,primary
Breast cancer (Low),MDS,gt_class,trustworthiness,4,0.024071733102014492,1.0,0.125,1.0,True
Breast cancer (Low),MDS,gt_class,continuity,4,0.019838197040502603,1.0,0.125,1.0,True
Breast cancer (Low),MDS,gt_class,mrre_false,4,0.023319282512542006,0.0,0.125,-1.0,False
Breast cancer (Low),MDS,gt_class,mrre_missing,4,0.012817196889116478,0.0,0.125,-1.0,False
Breast cancer (Low),MDS,gt_class,stress,4,-0.044341547449955124,1.0,0.125,1.0,False
Breast cancer (Low),MDS,hier_leaf,trustworthiness,12,0.09970095693779907,1.0,0.00048828125,1.0,True
Breast cancer (Low),MDS,hier_leaf,continuity,12,0.07619090807612872,1.0,0.00048828125,1.0,True
Breast cancer (Low),MDS,hier_leaf,mrre_false,12,0.10645900479297543,0.0,0.00048828125,-1.0,False
Breast cancer (Low),MDS,hier_leaf,mrre_missing,12,0.07792651547514351,0.0,0.00048828125,-1.0,False
Breast cancer (Low),MDS,hier_leaf,stress,12,-0.16340945472225155,1.0,0.00048828125,1.0,False
Breast cancer (Low),PCA,gt_class,trustworthiness,4,0.019620045668389374,1.0,0.125,1.0,True
Breast cancer (Low),PCA,gt_class,continuity,4,0.014436811436999486,1.0,0.125,1.0,True
Breast cancer (Low),PCA,gt_class,mrre_false,4,0.012552800830798239,0.0,0.125,-1.0,False
Breast cancer (Low),PCA,gt_class,mrre_missing,4,0.009429686066073972,0.0,0.125,-1.0,False
Breast cancer (Low),PCA,gt_class,stress,4,-0.05348856649187672,1.0,0.125,1.0,False
Breast cancer (Low),PCA,hier_leaf,trustworthiness,12,0.08866248339398436,0.8333333333333334,0.00244140625,0.6666666666666666,True
Breast cancer (Low),PCA,hier_leaf,continuity,12,0.06540092682437171,0.8333333333333334,0.00244140625,0.6666666666666666,True
Breast cancer (Low),PCA,hier_leaf,mrre_false,12,0.08922807311117831,0.16666666666666666,0.00341796875,-0.6666666666666666,False
Breast cancer (Low),PCA,hier_leaf,mrre_missing,12,0.0676811920206899,0.08333333333333333,0.00146484375,-0.8333333333333334,False
Breast cancer (Low),PCA,hier_leaf,stress,12,-0.17993521880103505,1.0,0.00048828125,1.0,False
Breast cancer (Low),UMAP,gt_class,trustworthiness,4,0.005607288036475033,0.75,0.25,0.5,True
Breast cancer (Low),UMAP,gt_class,continuity,4,0.010677361156838816,1.0,0.125,1.0,True
Breast cancer (Low),UMAP,gt_class,mrre_false,4,0.008025019942406342,0.0,0.125,-1.0,False
Breast cancer (Low),UMAP,gt_class,mrre_missing,4,0.0074586513264524035,0.0,0.125,-1.0,False
Breast cancer (Low),UMAP,gt_class,stress,4,-0.056480450657107384,1.0,0.125,1.0,False
Breast cancer (Low),UMAP,hier_leaf,trustworthiness,10,0.014474416743891272,0.7,0.193359375,0.4,True
Breast cancer (Low),UMAP,hier_leaf,continuity,10,0.011714986891043166,0.7,0.232421875,0.4,True
Breast cancer (Low),UMAP,hier_leaf,mrre_false,10,0.0261769791104276,0.1,0.02734375,-0.8,False
Breast cancer (Low),UMAP,hier_leaf,mrre_missing,10,0.01249330785081637,0.1,0.02734375,-0.8,False
Breast cancer (Low),UMAP,hier_leaf,stress,10,-0.15660031444484818,1.0,0.001953125,1.0,False
Breast cancer (Low),t-SNE,gt_class,trustworthiness,4,0.012983229601327029,1.0,0.125,1.0,True
Breast cancer (Low),t-SNE,gt_class,continuity,4,0.01948654256153004,1.0,0.125,1.0,True
Breast cancer (Low),t-SNE,gt_class,mrre_false,4,0.01026150072950277,0.0,0.125,-1.0,False
Breast cancer (Low),t-SNE,gt_class,mrre_missing,4,0.014507173756703351,0.0,0.125,-1.0,False
Breast cancer (Low),t-SNE,gt_class,stress,4,-0.4242302377786913,1.0,0.125,1.0,False
Breast cancer (Low),t-SNE,hier_leaf,trustworthiness,11,-0.06464359095938033,0.18181818181818182,0.013671875,-0.6363636363636364,True
Breast cancer (Low),t-SNE,hier_leaf,continuity,11,-0.08417182662538691,0.2727272727272727,0.0244140625,-0.45454545454545453,True
Breast cancer (Low),t-SNE,hier_leaf,mrre_false,11,-0.10597973817893924,0.9090909090909091,0.0048828125,0.8181818181818182,False
Breast cancer (Low),t-SNE,hier_leaf,mrre_missing,11,-0.16585409956729846,0.7272727272727273,0.0185546875,0.45454545454545453,False
Breast cancer (Low),t-SNE,hier_leaf,stress,11,23.09893336200905,0.09090909090909091,0.0029296875,-0.8181818181818182,False
Concentric rings (Low),MDS,gt_class,trustworthiness,6,-2.4213075060508515e-06,0.16666666666666666,0.875,-0.5,True
