dataset,method,seed,layers,ari_h,nmi_h,ari_f,nmi_f,merges,noise_h,noise_f
Concentric rings (Low),UMAP,0,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),UMAP,1,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),UMAP,2,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),UMAP,3,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),UMAP,4,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),t-SNE,0,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),t-SNE,1,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),t-SNE,2,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),t-SNE,3,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),t-SNE,4,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),PCA,0,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),PCA,1,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),PCA,2,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),PCA,3,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),PCA,4,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),MDS,0,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),MDS,1,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),MDS,2,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),MDS,3,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Concentric rings (Low),MDS,4,2,0.3294601361728024,0.5817578196481892,1.0,1.0,3,0.199,0.0
Wine quality (Low),UMAP,0,2,0.845546290440301,0.7351669331246782,0.11695207886187281,0.32877619924707285,1,0.025,0.114
Wine quality (Low),UMAP,1,2,0.09288616977747167,0.323267788877264,0.9696238218983309,0.9300987365205633,2,0.174,0.0
Wine quality (Low),UMAP,2,2,0.10034324076584407,0.3269013819319765,0.9596998490843948,0.9153085932849411,3,0.191,0.0
Wine quality (Low),UMAP,3,2,0.2004712046851107,0.38748391390987424,0.9721111486468133,0.9399229920527159,3,0.098,0.0
Wine quality (Low),UMAP,4,2,0.8455522153540687,0.7323003497879057,0.9529207408312915,0.8939931053977823,3,0.004,0.0
Wine quality (Low),t-SNE,0,2,0.08960283247209695,0.3170245766875214,0.9632358329636213,0.9191157782339202,2,0.208,0.0
Wine quality (Low),t-SNE,1,2,0.1003642735879679,0.33453943870615266,0.9005490972761429,0.8077706390049406,2,0.148,0.002
Wine quality (Low),t-SNE,2,2,0.08882210387430722,0.3174998728049134,0.968246365196457,0.9281304275000333,2,0.217,0.0
Wine quality (Low),t-SNE,3,2,0.4752536065276078,0.5040789013814,0.9605203658966742,0.9107153249170059,3,0.032,0.0
Wine quality (Low),t-SNE,4,2,0.22040319940323908,0.404173338448296,0.9755176994157151,0.9464659556935768,3,0.151,0.0
Wine quality (Low),PCA,0,2,0.4787097011798125,0.5183671071125264,0.97333367438777,0.9413951825809065,3,0.043,0.0
Wine quality (Low),PCA,1,2,0.09640750971527923,0.32660384348140675,0.9658746260130775,0.9306084549325141,3,0.157,0.0
Wine quality (Low),PCA,2,2,0.08867939554458819,0.3176777945274662,0.9637045307992665,0.920090792986678,2,0.199,0.0
Wine quality (Low),PCA,3,2,0.11286943448301837,0.3279646116931793,0.9656456897033394,0.9199218713579472,3,0.141,0.0
Wine quality (Low),PCA,4,2,0.5776273078436066,0.5559188564942881,0.7583520815226522,0.6719414906332527,3,0.019,0.003
Wine quality (Low),MDS,0,2,0.12855606876147305,0.3468176060657081,0.9650899473036916,0.9237599769114739,3,0.178,0.0
Wine quality (Low),MDS,1,2,0.09424734099446817,0.32787582226169515,0.9696904770521652,0.9304533885980389,2,0.175,0.0
Wine quality (Low),MDS,2,2,0.08878853307592528,0.31882556633377984,0.9690066330618813,0.9347120941933408,2,0.191,0.0
Wine quality (Low),MDS,3,2,0.10404858984508776,0.3306828830919096,0.9645653105536153,0.9215150011035285,2,0.178,0.0
Wine quality (Low),MDS,4,2,0.09480518474583924,0.3202089685042335,0.96072994539916,0.9164694649364711,3,0.165,0.0
Breast cancer (Low),UMAP,0,2,0.24340200446906463,0.4010888236908824,0.6942496000066523,0.6254408733546833,3,0.24428822495606328,0.026362038664323375
Breast cancer (Low),UMAP,1,2,0.513490879982335,0.47132945026026685,0.7771418977555216,0.6651935325292181,3,0.22495606326889278,0.012302284710017574
Breast cancer (Low),UMAP,2,2,0.5202532447685063,0.47501582473345944,0.7981014571141616,0.6858361155327833,3,0.20913884007029876,0.015817223198594025
Breast cancer (Low),UMAP,3,2,0.1541702395243079,0.37234817043562646,0.6007544948960715,0.584491882831219,3,0.31985940246045697,0.0421792618629174
Breast cancer (Low),UMAP,4,2,0.45424794321971845,0.46159429964326326,0.7424273457419853,0.6512121658415273,3,0.14586994727592267,0.012302284710017574
Breast cancer (Low),t-SNE,0,2,0.13605011564189382,0.36685876737632944,0.8254626215343148,0.744718502719059,4,0.34973637961335674,0.012302284710017574
Breast cancer (Low),t-SNE,1,2,0.44406826576911407,0.4820722289361238,0.8101052441570624,0.724183410649402,3,0.2530755711775044,0.015817223198594025
Breast cancer (Low),t-SNE,2,2,0.5349759943882272,0.5451737598575986,0.8018270551943301,0.7244130112530163,3,0.20035149384885764,0.008787346221441126
Breast cancer (Low),t-SNE,3,2,0.4770548563135061,0.4695114051073601,0.8363514412452919,0.7192683784467684,4,0.2671353251318102,0.019332161687170474
Breast cancer (Low),t-SNE,4,2,0.167154789558609,0.38890104889783583,0.7716433765569148,0.7054980505978392,3,0.4094903339191564,0.012302284710017574
Breast cancer (Low),PCA,0,2,0.6103871139191628,0.5341630474428798,0.8018496198817521,0.6943233854374953,3,0.1687170474516696,0.0210896309314587
Breast cancer (Low),PCA,1,2,0.46052410849039865,0.4650322913269289,0.8219428312498358,0.6911181106482435,4,0.2671353251318102,0.026362038664323375
Breast cancer (Low),PCA,2,2,0.38165256839223805,0.44286395493989666,0.8183105824744119,0.7208489225180085,3,0.28295254833040423,0.02460456942003515
Breast cancer (Low),PCA,3,2,0.6186837906931028,0.5934506592446506,0.8276347967770438,0.7460216567060591,3,0.18804920913884007,0.0210896309314587
Breast cancer (Low),PCA,4,2,0.18189470706060887,0.35081505653372386,0.683803957958466,0.6051287265552348,3,0.30579964850615116,0.012302284710017574
Breast cancer (Low),MDS,0,2,0.26060334968209475,0.42170904768126183,0.7636492799840735,0.6561810363292596,3,0.27768014059753954,0.015817223198594025
Breast cancer (Low),MDS,1,2,0.28669639802083163,0.39512360807043895,0.7324652159771217,0.6404040777285801,3,0.21441124780316345,0.015817223198594025
Breast cancer (Low),MDS,2,2,0.5765947885229067,0.5034917574551391,0.78812989767409,0.6753649759461829,3,0.17926186291739896,0.008787346221441126
Breast cancer (Low),MDS,3,2,0.5734041892689874,0.47624822976223385,0.6963534133609566,0.6003394371000934,3,0.07205623901581722,0.01757469244288225
Breast cancer (Low),MDS,4,2,0.6544452295591471,0.5805351661444645,0.7866493328201388,0.6883958146956407,3,0.08260105448154657,0.02460456942003515
Digits (Low),UMAP,0,2,0.6386196145507558,0.8116376305931275,0.712956546919178,0.8507312257305901,7,0.151,0.0
Digits (Low),UMAP,1,2,0.5694279918378705,0.7992938385954131,0.7870738861351956,0.8745245749205365,7,0.146,0.034
Digits (Low),UMAP,2,2,0.5431386156747301,0.7921712658861149,0.8120544941516755,0.8919942386423756,8,0.166,0.013
Digits (Low),UMAP,3,2,0.6882612671444449,0.8223430110746971,0.6901438359209209,0.8292432163748079,9,0.122,0.022
Digits (Low),UMAP,4,2,0.6115095772801528,0.7980800027251103,0.713180572934901,0.830687374875911,10,0.155,0.003
Digits (Low),t-SNE,0,2,0.5322625483930244,0.7799350586197671,0.7181687993485396,0.8512871748434914,9,0.185,0.001
Digits (Low),t-SNE,1,2,0.5879720646738839,0.7946765560786572,0.8099174756836943,0.8747102529842723,9,0.126,0.007
Digits (Low),t-SNE,2,2,0.5681965144829353,0.7879171561126276,0.7812908800965529,0.8695398658334599,7,0.176,0.01
Digits (Low),t-SNE,3,2,0.5666257834418567,0.7981518807961342,0.8490878761338599,0.8983723179015932,7,0.158,0.012
Digits (Low),t-SNE,4,2,0.57177928872192,0.7985976684894115,0.7333430945993504,0.8561009258236439,9,0.147,0.0
Digits (Low),PCA,0,2,0.5886748330552763,0.7946360631907043,0.7580243548323513,0.8538021821205053,7,0.17,0.042
Digits (Low),PCA,1,2,0.563951549284155,0.7970266270220169,0.7358951892373115,0.8574467368593199,9,0.163,0.001
Digits (Low),PCA,2,2,0.5345624363242175,0.7904355934332158,0.8151632607093164,0.8946908018774952,10,0.231,0.011
Digits (Low),PCA,3,2,0.6406103724850467,0.8264084742824902,0.8290543558956542,0.9026174582335772,8,0.143,0.012
Digits (Low),PCA,4,2,0.5523338683416017,0.7901135625056582,0.8153539460807256,0.8843709043669372,10,0.192,0.0
Digits (Low),MDS,0,2,0.663985655817398,0.819152153236363,0.8042982339531906,0.8808242075722081,6,0.125,0.008
Digits (Low),MDS,1,2,0.5432574767662688,0.7905756809373389,0.8257194421558856,0.8992783592623305,9,0.162,0.004
Digits (Low),MDS,2,2,0.6293366177640367,0.8064759056535561,0.7572717235777121,0.8601617406465402,7,0.171,0.02
Digits (Low),MDS,3,2,0.6360996458965916,0.802659297390282,0.7958135607908627,0.8677175733699014,10,0.12,0.004
Digits (Low),MDS,4,2,0.6310443545671436,0.8106346947158778,0.8064471997102681,0.8794217776734192,8,0.132,0.008
