rho,nesting,seed,region,local,global
1,nested,0,0,0.74125,0.751875
1,nested,0,1,0.7439583333333334,0.7475
1,nested,0,2,0.7660416666666666,0.7785416666666667
1,nested,1,0,1.0,1.0
1,nested,1,1,1.0,1.0
1,nested,1,2,1.0,1.0
1,nested,2,0,0.7454166666666666,0.74125
1,nested,2,1,0.7214583333333333,0.7377083333333333
1,nested,2,2,0.736875,0.7625
1,nested,3,0,0.89875,0.8772916666666667
1,nested,3,1,0.870625,0.856875
1,nested,3,2,0.8491666666666666,0.87125
1,nested,4,0,0.9604166666666667,0.9702083333333333
1,nested,4,1,0.9533333333333334,0.9654166666666667
1,nested,4,2,0.9827083333333333,0.9772916666666667
1,nested,5,0,0.6970833333333334,0.7075
1,nested,5,1,0.6758333333333333,0.6704166666666667
1,nested,5,2,0.7175,0.7164583333333333
1,nested,6,0,0.743125,0.73375
1,nested,6,1,0.745625,0.755625
1,nested,6,2,0.751875,0.7539583333333333
1,nested,7,0,0.6020833333333333,0.594375
1,nested,7,1,0.7172916666666667,0.699375
1,nested,7,2,0.53,0.6158333333333333
1,nested,8,0,0.945,0.9510416666666667
1,nested,8,1,0.9585416666666666,0.9622916666666667
1,nested,8,2,0.9820833333333333,0.98375
1,nested,9,0,0.7802083333333333,0.799375
1,nested,9,1,0.76875,0.7833333333333333
1,nested,9,2,0.8472916666666667,0.83875
1,nested,10,0,0.4764583333333333,0.444375
1,nested,10,1,0.54125,0.558125
1,nested,10,2,0.499375,0.51
1,nested,11,0,0.8025,0.7939583333333333
1,nested,11,1,0.8535416666666666,0.8529166666666667
1,nested,11,2,0.8439583333333334,0.8441666666666666
1,nested,12,0,0.9522916666666666,0.9554166666666667
1,nested,12,1,0.9389583333333333,0.9366666666666666
1,nested,12,2,0.9935416666666667,0.98625
1,nested,13,0,0.764375,0.7772916666666667
1,nested,13,1,0.7491666666666666,0.748125
1,nested,13,2,0.7814583333333334,0.7833333333333333
1,nested,14,0,0.7975,0.823125
1,nested,14,1,0.7641666666666667,0.78875
1,nested,14,2,0.7920833333333334,0.7804166666666666
1,nested,15,0,0.5564583333333334,0.5302083333333333
1,nested,15,1,0.5485416666666667,0.52
1,nested,15,2,0.5722916666666666,0.5439583333333333
1,nested,16,0,0.9991666666666666,0.998125
1,nested,16,1,0.9897916666666666,0.9904166666666666
1,nested,16,2,0.9858333333333333,0.9870833333333333
1,nested,17,0,0.7429166666666667,0.75125
1,nested,17,1,0.744375,0.7525
