rho,nesting,seed,rotation_diversity,d_noise,min_cluster_size,dr_method,condition,h,c,v,ari,nmi,within_g_ari,coarse_ari,noise_frac,n_clusters,frag_ratio
1,nested,0,1.0,10,15,UMAP,hierarchical,0.8854253178036737,0.8654901542559689,0.875344249470357,0.7626642226046862,0.8753442494703569,0.7058170991754307,1.0,0.2,14,1.1666666666666667
1,nested,0,1.0,10,15,UMAP,flat_full,0.7850708761838959,0.9880633070731232,0.8749475742261018,0.6544904228529225,0.8749475742261019,0.5660940947609143,1.0,0.001388888888888889,8,0.6666666666666666
1,nested,0,1.0,10,15,UMAP,flat_oracle_B,0.6786174112944232,0.9957952978692797,0.8071654300291649,0.44668445101303844,0.807165430029165,0.7052257375440553,0.38695637194787963,0.03194444444444444,7,0.5833333333333334
1,nested,0,1.0,10,15,UMAP,oracle_conditional,0.8603339466065922,0.9999999999999998,0.9249242031796653,0.7745932332686594,0.9249242031796653,0.7110119993666983,1.0,0.001388888888888889,9,0.75
1,nested,1,1.0,10,15,UMAP,hierarchical,1.0,0.9439172886792988,0.9711496411666755,0.9464926303559136,0.9711496411666755,0.9354977674446108,1.0,0.0375,15,1.25
1,nested,1,1.0,10,15,UMAP,flat_full,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,12,1.0
1,nested,1,1.0,10,15,UMAP,flat_oracle_B,0.8589177196031332,1.0,0.9241051505889207,0.7710884340487091,0.9241051505889207,1.0,0.4675642235937254,0.022222222222222223,9,0.75
1,nested,1,1.0,10,15,UMAP,oracle_conditional,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,12,1.0
1,nested,2,1.0,10,15,UMAP,hierarchical,0.7397603697925238,0.928507390231487,0.8234565059782131,0.6250002088588565,0.8234565059782132,0.5609698104350084,1.0,0.14444444444444443,9,0.75
1,nested,2,1.0,10,15,UMAP,flat_full,0.6164570678872795,0.981595281814763,0.757311047278695,0.47049661001566145,0.757311047278695,0.3176347897856697,1.0,0.0,5,0.4166666666666667
1,nested,2,1.0,10,15,UMAP,flat_oracle_B,0.29081727550133857,1.0,0.4505940244538306,0.11447997461108898,0.4505940244538306,0.23514755945463928,0.31135242099702204,0.009722222222222222,3,0.25
1,nested,2,1.0,10,15,UMAP,oracle_conditional,0.8055146700427681,0.9964856545582971,0.8908808752979334,0.703473859112174,0.8908808752979333,0.6221004888878582,1.0,0.03888888888888889,8,0.6666666666666666
1,nested,3,1.0,10,15,UMAP,hierarchical,0.8909461428363323,0.9004207912116756,0.8956584110290177,0.8111963918202042,0.8956584110290177,0.7620415819419314,1.0,0.1638888888888889,13,1.0833333333333333
1,nested,3,1.0,10,15,UMAP,flat_full,0.6684144184766945,0.9999999999999994,0.801257063082653,0.5096612866560581,0.801257063082653,0.33053221288515405,1.0,0.0,6,0.5
1,nested,3,1.0,10,15,UMAP,flat_oracle_B,0.3692291790722146,0.9999999999999998,0.5393241463381654,0.21191719724087307,0.5393241463381654,0.45884296156151777,0.15202464615065567,0.006944444444444444,3,0.25
1,nested,3,1.0,10,15,UMAP,oracle_conditional,0.8836984117279123,0.9968160794563133,0.9368550897426636,0.76364116641132,0.9368550897426635,0.77311388034996,1.0,0.025,10,0.8333333333333334
1,nested,4,1.0,10,15,UMAP,hierarchical,0.9944534655421691,0.9176037341556962,0.9544842210471096,0.9104620022275898,0.9544842210471095,0.8912264250060429,1.0,0.10694444444444444,16,1.3333333333333333
1,nested,4,1.0,10,15,UMAP,flat_full,0.8605285271744351,1.0000000000000002,0.9250366383592202,0.7751016578041914,0.9250366383592202,0.7117008443908324,1.0,0.0,9,0.75
1,nested,4,1.0,10,15,UMAP,flat_oracle_B,0.7851203804805372,0.9964435475872976,0.8782487396425637,0.6478467904635619,0.8782487396425636,0.9963590600392731,0.2701849223082613,0.05555555555555555,8,0.6666666666666666
1,nested,4,1.0,10,15,UMAP,oracle_conditional,0.9535095090581451,1.0,0.9762015538054537,0.9142925259268089,0.9762015538054537,0.9039002814636108,1.0,0.0,11,0.9166666666666666
1,nested,5,1.0,10,15,UMAP,hierarchical,0.8465787762103341,0.7437414658462941,0.7918351578783658,0.6339145642502091,0.7918351578783659,0.5376194042435157,1.0,0.28888888888888886,18,1.5
1,nested,5,1.0,10,15,UMAP,flat_full,0.7210570543488701,1.0000000000000002,0.8379234756068777,0.6213796735123749,0.8379234756068776,0.4968421052631579,1.0,0.0,6,0.5
1,nested,5,1.0,10,15,UMAP,flat_oracle_B,0.4975901931427778,0.9999999999999997,0.6645211693040758,0.3213289791367745,0.6645211693040758,0.567781853651895,0.30593877330256375,0.005555555555555556,4,0.3333333333333333
1,nested,5,1.0,10,15,UMAP,oracle_conditional,0.8599421478234917,1.0000000000000002,0.92469773732457,0.7735772832809189,0.9246977373245698,0.7096147890485275,1.0,0.004166666666666667,9,0.75
1,nested,6,1.0,10,15,UMAP,hierarchical,0.8845124645208223,0.868402994770977,0.8763837058205505,0.8255254875527789,0.8763837058205504,0.790412452258135,1.0,0.19027777777777777,13,1.0833333333333333
1,nested,6,1.0,10,15,UMAP,flat_full,0.8519911166642845,0.990089594203935,0.9158638207181634,0.7677132092691421,0.9158638207181633,0.7022283692817456,1.0,0.0,9,0.75
1,nested,6,1.0,10,15,UMAP,flat_oracle_B,0.8035686194958366,0.9964702647463641,0.8896832640901392,0.6996405142091305,0.8896832640901391,0.6908293690284141,0.7692535799993836,0.04027777777777778,8,0.6666666666666666
1,nested,6,1.0,10,15,UMAP,oracle_conditional,0.8605285271744351,1.0000000000000002,0.9250366383592202,0.7751016578041914,0.9250366383592202,0.7117008443908324,1.0,0.0,9,0.75
1,nested,7,1.0,10,15,UMAP,hierarchical,0.7053345191693415,0.9777891289003722,0.8195101124898316,0.609210155185283,0.8195101124898315,0.48140018658252304,1.0,0.06388888888888888,6,0.5
1,nested,7,1.0,10,15,UMAP,flat_full,0.44211410869774026,0.9999999999999998,0.6131471927654583,0.30441792970009673,0.6131471927654584,0.0,1.0,0.0,3,0.25
1,nested,7,1.0,10,15,UMAP,flat_oracle_B,0.4957682754859936,0.9940504223005822,0.6615820627600717,0.30084750936341165,0.6615820627600717,0.4939272769183141,0.22508060336607807,0.058333333333333334,4,0.3333333333333333
1,nested,7,1.0,10,15,UMAP,oracle_conditional,0.7210466193021219,1.0,0.8379164297065975,0.6213427869272938,0.8379164297065975,0.4967646567886114,1.0,0.019444444444444445,6,0.5
1,nested,8,1.0,10,15,UMAP,hierarchical,0.9766739217519991,0.9032737154982561,0.9385409089601615,0.8934034823066239,0.9385409089601614,0.8620437634054198,1.0,0.1388888888888889,16,1.3333333333333333
1,nested,8,1.0,10,15,UMAP,flat_full,0.8576765130501033,0.9966965314013118,0.9219754441310926,0.7726275689833941,0.9219754441310926,0.708528239719131,1.0,0.0,9,0.75
1,nested,8,1.0,10,15,UMAP,flat_oracle_B,0.7441190862797131,0.992184681539902,0.8504313269737748,0.6170838499654407,0.8504313269737748,0.9961225312829721,0.16056802948185642,0.034722222222222224,7,0.5833333333333334
1,nested,8,1.0,10,15,UMAP,oracle_conditional,0.9070190181162902,1.0000000000000002,0.9512427610839697,0.8400444938820912,0.9512427610839697,0.8078005629272216,1.0,0.0,10,0.8333333333333334
1,nested,9,1.0,10,15,UMAP,hierarchical,0.8701605924478768,0.8596594026787276,0.8648781228633686,0.7380997281283064,0.8648781228633685,0.6787718929787129,1.0,0.14583333333333334,14,1.1666666666666667
1,nested,9,1.0,10,15,UMAP,flat_full,0.8580662822809964,0.9966980270186699,0.9222012374430889,0.7736405809079814,0.9222012374430889,0.7098916683649601,1.0,0.0,9,0.75
1,nested,9,1.0,10,15,UMAP,flat_oracle_B,0.43144571979942953,0.9999999999999992,0.6028111493600784,0.22197313634906468,0.6028111493600783,0.4534297297365364,0.22880651912680147,0.013888888888888888,4,0.3333333333333333
1,nested,9,1.0,10,15,UMAP,oracle_conditional,0.8605285271744351,1.0000000000000002,0.9250366383592202,0.7751016578041914,0.9250366383592202,0.7117008443908324,1.0,0.0,9,0.75
1,nested,10,1.0,10,15,UMAP,hierarchical,0.6012870061472898,0.7412470977345708,0.6639715846673317,0.38023831905673394,0.6639715846673317,0.26885709210768244,1.0,0.2847222222222222,10,0.8333333333333334
1,nested,10,1.0,10,15,UMAP,flat_full,0.44211410869774026,0.9999999999999998,0.6131471927654583,0.30441792970009673,0.6131471927654584,0.0,1.0,0.0,3,0.25
1,nested,10,1.0,10,15,UMAP,flat_oracle_B,0.25615214493032035,0.9999999999999997,0.4078361780682694,0.1337963291049536,0.40783617806826944,0.0,0.5707462686567164,0.0,2,0.16666666666666666
1,nested,10,1.0,10,15,UMAP,oracle_conditional,0.7161942433644021,0.9908951131022931,0.8314425640268186,0.5587576249937335,0.8314425640268186,0.43326642764042184,1.0,0.2,7,0.5833333333333334
1,nested,11,1.0,10,15,UMAP,hierarchical,0.8882613571862739,0.8492549624877483,0.8683203225602761,0.7767359691044037,0.8683203225602761,0.7321075835660391,1.0,0.13194444444444445,15,1.25
1,nested,11,1.0,10,15,UMAP,flat_full,0.8580662822809962,0.9966980270186699,0.9222012374430888,0.7736405809079814,0.9222012374430889,0.7098916683649601,1.0,0.0,9,0.75
1,nested,11,1.0,10,15,UMAP,flat_oracle_B,0.578079787643827,0.9947494604325885,0.7312231223433402,0.39689007506294777,0.7312231223433401,0.709871953387066,0.2864068403280336,0.09722222222222222,5,0.4166666666666667
1,nested,11,1.0,10,15,UMAP,oracle_conditional,0.8572914019466712,0.9966950523267849,0.9217522563371553,0.7716166707571153,0.9217522563371553,0.7071714281966602,1.0,0.0,9,0.75
1,nested,12,1.0,10,15,UMAP,hierarchical,0.9697836859074515,0.9052128740907538,0.9363864406956025,0.887303968789633,0.9363864406956024,0.840703071465906,1.0,0.12916666666666668,16,1.3333333333333333
