rho,nesting,metric,n_pairs,hier_mean,flat_mean,median_delta,win_rate,wilcoxon_p,rank_biserial,oracle_relative
1,nested,within_g_ari,20,0.699594083086751,0.5861937788241086,0.11315275022294063,0.65,0.01531219482421875,0.3,0.954084298605223
1,non_nested,within_g_ari,20,0.8815407905546655,0.9246577519644867,-0.0633629340010306,0.25,0.01923370361328125,-0.5,1.202217467502435
2,nested,within_g_ari,20,0.6542326170842582,0.5228412842008577,0.10913082426181865,0.6,0.03276824951171875,0.2,0.892221765000395
2,non_nested,within_g_ari,20,0.8730564361667337,0.9389413575569456,-0.07692897653912989,0.15,0.0014324188232421875,-0.7,1.1906467731512018
4,nested,within_g_ari,20,0.5779933375066993,0.4424975916149315,0.10433054006889311,0.75,0.01068878173828125,0.5,0.7882490451898088
4,non_nested,within_g_ari,20,0.8756060449610956,0.9290910151174272,-0.07537787400184859,0.3,0.023950576782226562,-0.4,1.1941238490400568
8,nested,within_g_ari,20,0.4864280115791069,0.3359353304411695,0.126697133760646,0.8,0.00485992431640625,0.6,0.6633751477738514
8,non_nested,within_g_ari,20,0.8723789413980538,0.9249837274706423,-0.06222250799124124,0.2,0.00830841064453125,-0.6,1.1897228271990967
16,nested,within_g_ari,20,0.43884416808544763,0.28850908741888615,0.1704809350023277,0.7,0.0042209625244140625,0.4,0.5984818059887422
16,non_nested,within_g_ari,20,0.8572776324237894,0.9290940546542167,-0.07015167135094258,0.2,0.002712249755859375,-0.6,1.1691281393235773
32,nested,within_g_ari,20,0.41297228306966094,0.28382501868980553,0.13907319312779826,0.75,0.005580902099609375,0.5,0.5631985469309023
32,non_nested,within_g_ari,20,0.8671600164489013,0.938757885507664,-0.0857525656845014,0.1,0.0019855499267578125,-0.8,1.1826054223067972
