arm,skew,method,t,n_pairs,median_diff,win_rate,wilcoxon_p,rank_biserial
synth-bimodal-tight,bimodal,db,0.8,80,0.05488500141837577,0.85,1.0380246271796101e-12,0.7215189873417721
synth-bimodal-tight,bimodal,db,0.9,80,-0.0060045343064212275,0.4,0.2779521905080893,-0.189873417721519
synth-bimodal-tight,bimodal,db,0.95,80,0.007012769786592266,0.6,4.265165577413197e-05,0.391304347826087
synth-bimodal-tight,bimodal,threshold,0.8,80,0.0,0.025,0.011429026137164526,-0.7142857142857143
synth-bimodal-tight,bimodal,threshold,0.9,80,-0.03072196620583717,0.0375,1.9056621505786031e-10,-0.9
synth-bimodal-tight,bimodal,threshold,0.95,80,0.0,0.3875,0.9432138302517766,0.12727272727272726
synth-skew-tight,lognormal,db,0.8,80,0.01828011782991984,0.8375,6.263580811764004e-11,0.717948717948718
synth-skew-tight,lognormal,db,0.9,80,-0.0009178905206942423,0.4875,0.6010253403886767,-0.012658227848101266
synth-skew-tight,lognormal,db,0.95,80,0.024392721358177938,0.8875,1.495728398858081e-13,0.8933333333333333
synth-skew-tight,lognormal,threshold,0.8,80,0.0,0.05,0.3876953125,-0.3333333333333333
synth-skew-tight,lognormal,threshold,0.9,80,-0.03072196620583717,0.05,2.874845264269389e-10,-0.873015873015873
synth-skew-tight,lognormal,threshold,0.95,80,0.0,0.4,0.06862959245905777,0.30612244897959184
synth-skew-wide,lognormal,db,0.8,80,-0.010384215991692591,0.0,1.1825298845719067e-11,-1.0
synth-skew-wide,lognormal,db,0.9,80,-0.00931532370749888,0.0125,5.763285249527669e-13,-0.9622641509433962
synth-skew-wide,lognormal,db,0.95,80,0.0,0.025,0.5,1.0
synth-skew-wide,lognormal,threshold,0.8,80,0.0,0.05,0.3876953125,-0.3333333333333333
synth-skew-wide,lognormal,threshold,0.9,80,-0.03072196620583717,0.05,2.9845380315511936e-10,-0.873015873015873
synth-skew-wide,lognormal,threshold,0.95,80,0.0,0.325,0.36067408999690687,0.23809523809523808
synth-sym-tight,gaussian,db,0.8,80,-0.012230634828188647,0.1125,1.3364706737288588e-10,-0.7428571428571429
synth-sym-tight,gaussian,db,0.9,80,-0.019808931479255665,0.025,2.0348315084340152e-14,-0.9487179487179487
synth-sym-tight,gaussian,db,0.95,80,0.0,0.1625,0.037190627027602785,0.13043478260869565
synth-sym-tight,gaussian,threshold,0.8,80,0.0,0.0125,0.0703125,-0.75
synth-sym-tight,gaussian,threshold,0.9,80,-0.03072196620583717,0.0,1.413154252366729e-12,-1.0
synth-sym-tight,gaussian,threshold,0.95,80,0.0,0.125,0.25550882029402844,0.3333333333333333
synth-sym-wide,gaussian,db,0.8,80,-0.010384215991692591,0.0,7.173773066899784e-11,-1.0
synth-sym-wide,gaussian,db,0.9,80,-0.00931532370749888,0.0,6.0056966219696e-14,-1.0
synth-sym-wide,gaussian,db,0.95,80,0.0,0.0375,0.25,1.0
synth-sym-wide,gaussian,threshold,0.8,80,0.0,0.0125,0.0703125,-0.75
synth-sym-wide,gaussian,threshold,0.9,80,-0.03072196620583717,0.0,1.3963787286193326e-12,-1.0
synth-sym-wide,gaussian,threshold,0.95,80,0.0,0.075,0.6640625,0.5
wine,real,db,0.8,55,-0.002409638554216942,0.41818181818181815,0.6630545504669145,-0.16363636363636364
wine,real,db,0.9,55,-0.006635071090047462,0.45454545454545453,0.5438224616037753,-0.07407407407407407
wine,real,db,0.95,55,-0.003912602247300834,0.4,0.21494999849003849,-0.2
wine,real,threshold,0.8,55,-0.030519480519480557,0.2727272727272727,0.053437853143740124,-0.3617021276595745
wine,real,threshold,0.9,55,-0.004791362051512982,0.43636363636363634,0.34355795990221827,-0.07692307692307693
wine,real,threshold,0.95,55,-0.013356562137049943,0.32727272727272727,0.09741269062034895,-0.3333333333333333
