arm,skew,margin,seed,sel_id,n_sel,n_all,method,split,t,dim_precision,dim_recall,dim_f1,n_dims_found,membership_f1,coverage
synth-sym-wide,gaussian,4.0,0,cluster0,60,240,threshold,severity,1.0,1.0,1.0,1.0,3,1.0,0.25
synth-sym-wide,gaussian,4.0,0,cluster0,60,240,threshold,severity,0.95,1.0,1.0,1.0,3,0.30985915492957744,0.04583333333333333
synth-sym-wide,gaussian,4.0,0,cluster0,60,240,threshold,severity,0.9,1.0,1.0,1.0,3,0.03278688524590164,0.004166666666666667
synth-sym-wide,gaussian,4.0,0,cluster0,60,240,threshold,severity,0.8,1.0,1.0,1.0,3,0.0,0.0
synth-sym-wide,gaussian,4.0,0,cluster0,60,240,threshold,symmetric,1.0,1.0,1.0,1.0,3,1.0,0.25
synth-sym-wide,gaussian,4.0,0,cluster0,60,240,threshold,symmetric,0.95,1.0,1.0,1.0,3,0.30985915492957744,0.04583333333333333
synth-sym-wide,gaussian,4.0,0,cluster0,60,240,threshold,symmetric,0.9,1.0,1.0,1.0,3,0.06451612903225806,0.008333333333333333
synth-sym-wide,gaussian,4.0,0,cluster0,60,240,threshold,symmetric,0.8,1.0,1.0,1.0,3,0.0,0.0
synth-sym-wide,gaussian,4.0,0,cluster0,60,240,db,severity,1.0,1.0,0.3333333333333333,0.5,1,1.0,0.25
synth-sym-wide,gaussian,4.0,0,cluster0,60,240,db,severity,0.95,1.0,0.3333333333333333,0.5,1,0.9655172413793104,0.23333333333333334
synth-sym-wide,gaussian,4.0,0,cluster0,60,240,db,severity,0.9,1.0,0.3333333333333333,0.5,1,0.9473684210526316,0.225
synth-sym-wide,gaussian,4.0,0,cluster0,60,240,db,severity,0.8,1.0,0.3333333333333333,0.5,1,0.888888888888889,0.2
synth-sym-wide,gaussian,4.0,0,cluster0,60,240,db,symmetric,1.0,1.0,0.3333333333333333,0.5,1,1.0,0.25
synth-sym-wide,gaussian,4.0,0,cluster0,60,240,db,symmetric,0.95,1.0,0.3333333333333333,0.5,1,0.9655172413793104,0.23333333333333334
synth-sym-wide,gaussian,4.0,0,cluster0,60,240,db,symmetric,0.9,1.0,0.3333333333333333,0.5,1,0.9473684210526316,0.225
synth-sym-wide,gaussian,4.0,0,cluster0,60,240,db,symmetric,0.8,1.0,0.3333333333333333,0.5,1,0.888888888888889,0.2
synth-sym-wide,gaussian,4.0,0,cluster1,60,240,threshold,severity,1.0,1.0,1.0,1.0,3,1.0,0.25
synth-sym-wide,gaussian,4.0,0,cluster1,60,240,threshold,severity,0.95,1.0,1.0,1.0,3,0.2857142857142857,0.041666666666666664
synth-sym-wide,gaussian,4.0,0,cluster1,60,240,threshold,severity,0.9,1.0,1.0,1.0,3,0.06451612903225806,0.008333333333333333
