arm,method,split,t,dim_precision,dim_recall,dim_f1,membership_f1,coverage,n_selections
synth-bimodal-tight,db,severity,0.8,1.0,0.3333333333333333,0.5,0.8205128205128205,0.225,80
synth-bimodal-tight,db,severity,0.9,1.0,0.6666666666666666,0.8,0.7924528301886793,0.20625,80
synth-bimodal-tight,db,severity,0.95,1.0,1.0,0.9285714285714286,0.8398109243697479,0.22916666666666666,80
synth-bimodal-tight,db,severity,1.0,0.375,1.0,0.5454545454545454,0.9523809523809523,0.275,80
synth-bimodal-tight,db,symmetric,0.8,1.0,0.6666666666666666,0.8,0.7281223449447747,0.22291666666666665,80
synth-bimodal-tight,db,symmetric,0.9,1.0,1.0,0.8571428571428571,0.7964601769911505,0.2125,80
synth-bimodal-tight,db,symmetric,0.95,0.75,1.0,0.8571428571428571,0.833391304347826,0.22916666666666666,80
synth-bimodal-tight,db,symmetric,1.0,0.375,1.0,0.5454545454545454,0.9523809523809523,0.275,80
synth-bimodal-tight,threshold,severity,0.8,1.0,1.0,1.0,0.0,0.0,80
synth-bimodal-tight,threshold,severity,0.9,1.0,1.0,1.0,0.06451612903225806,0.008333333333333333,80
synth-bimodal-tight,threshold,severity,0.95,1.0,1.0,1.0,0.2608695652173913,0.041666666666666664,80
synth-bimodal-tight,threshold,severity,1.0,1.0,1.0,1.0,0.9523809523809523,0.275,80
synth-bimodal-tight,threshold,symmetric,0.8,1.0,1.0,1.0,0.0,0.0,80
synth-bimodal-tight,threshold,symmetric,0.9,1.0,1.0,1.0,0.09523809523809523,0.0125,80
synth-bimodal-tight,threshold,symmetric,0.95,1.0,1.0,1.0,0.2712798530312308,0.041666666666666664,80
synth-bimodal-tight,threshold,symmetric,1.0,1.0,1.0,1.0,0.9523809523809523,0.275,80
synth-skew-tight,db,severity,0.8,1.0,0.3333333333333333,0.5,0.7949992996217958,0.24166666666666667,80
synth-skew-tight,db,severity,0.9,1.0,0.6666666666666666,0.8,0.8571428571428571,0.2125,80
synth-skew-tight,db,severity,0.95,1.0,0.6666666666666666,0.8,0.8813559322033899,0.225,80
synth-skew-tight,db,severity,1.0,0.2727272727272727,1.0,0.41428571428571426,0.916030534351145,0.29583333333333334,80
synth-skew-tight,db,symmetric,0.8,1.0,0.6666666666666666,0.8,0.78,0.18541666666666667,80
synth-skew-tight,db,symmetric,0.9,1.0,0.6666666666666666,0.8,0.855921855921856,0.22083333333333333,80
synth-skew-tight,db,symmetric,0.95,1.0,0.6666666666666666,0.8,0.858323494687131,0.23125,80
synth-skew-tight,db,symmetric,1.0,0.2727272727272727,1.0,0.41428571428571426,0.916030534351145,0.29583333333333334,80
synth-skew-tight,threshold,severity,0.8,1.0,1.0,1.0,0.0,0.0,80
synth-skew-tight,threshold,severity,0.9,1.0,1.0,1.0,0.06451612903225806,0.008333333333333333,80
synth-skew-tight,threshold,severity,0.95,1.0,1.0,1.0,0.2857142857142857,0.041666666666666664,80
synth-skew-tight,threshold,severity,1.0,1.0,1.0,1.0,0.916030534351145,0.29583333333333334,80
synth-skew-tight,threshold,symmetric,0.8,1.0,1.0,1.0,0.0,0.0,80
synth-skew-tight,threshold,symmetric,0.9,1.0,1.0,1.0,0.09523809523809523,0.0125,80
synth-skew-tight,threshold,symmetric,0.95,1.0,1.0,1.0,0.2758751902587519,0.041666666666666664,80
synth-skew-tight,threshold,symmetric,1.0,1.0,1.0,1.0,0.916030534351145,0.29583333333333334,80
synth-skew-wide,db,severity,0.8,1.0,0.3333333333333333,0.5,0.8785046728971964,0.19583333333333333,80
synth-skew-wide,db,severity,0.9,1.0,0.3333333333333333,0.5,0.9380530973451328,0.22083333333333333,80
synth-skew-wide,db,severity,0.95,1.0,0.3333333333333333,0.5,0.9655172413793104,0.23333333333333334,80
synth-skew-wide,db,severity,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,80
synth-skew-wide,db,symmetric,0.8,1.0,0.3333333333333333,0.5,0.888888888888889,0.2,80
synth-skew-wide,db,symmetric,0.9,1.0,0.3333333333333333,0.5,0.9473684210526316,0.225,80
synth-skew-wide,db,symmetric,0.95,1.0,0.3333333333333333,0.5,0.9655172413793104,0.23333333333333334,80
