arm,method,split,delta,t_star,h2_supported,n_pairs,n_selections,n_seeds,primary
synth-bimodal-tight,db,severity,0.05,,False,80,4,20,False
synth-bimodal-tight,db,severity,0.1,,False,80,4,20,False
synth-bimodal-tight,db,severity,0.2,,False,80,4,20,False
synth-bimodal-tight,db,symmetric,0.05,,False,80,4,20,False
synth-bimodal-tight,db,symmetric,0.1,,False,80,4,20,False
synth-bimodal-tight,db,symmetric,0.2,,False,80,4,20,False
synth-bimodal-tight,threshold,severity,0.05,,False,80,4,20,False
synth-bimodal-tight,threshold,severity,0.1,,False,80,4,20,True
synth-bimodal-tight,threshold,severity,0.2,,False,80,4,20,False
synth-bimodal-tight,threshold,symmetric,0.05,,False,80,4,20,False
synth-bimodal-tight,threshold,symmetric,0.1,,False,80,4,20,False
synth-bimodal-tight,threshold,symmetric,0.2,,False,80,4,20,False
synth-skew-tight,db,severity,0.05,0.95,True,80,4,20,False
synth-skew-tight,db,severity,0.1,0.9,True,80,4,20,False
synth-skew-tight,db,severity,0.2,,False,80,4,20,False
synth-skew-tight,db,symmetric,0.05,0.9,True,80,4,20,False
synth-skew-tight,db,symmetric,0.1,,False,80,4,20,False
synth-skew-tight,db,symmetric,0.2,,False,80,4,20,False
synth-skew-tight,threshold,severity,0.05,,False,80,4,20,False
synth-skew-tight,threshold,severity,0.1,,False,80,4,20,True
synth-skew-tight,threshold,severity,0.2,,False,80,4,20,False
synth-skew-tight,threshold,symmetric,0.05,,False,80,4,20,False
synth-skew-tight,threshold,symmetric,0.1,,False,80,4,20,False
synth-skew-tight,threshold,symmetric,0.2,,False,80,4,20,False
synth-skew-wide,db,severity,0.05,0.95,True,80,4,20,False
synth-skew-wide,db,severity,0.1,0.95,True,80,4,20,False
synth-skew-wide,db,severity,0.2,0.95,True,80,4,20,False
synth-skew-wide,db,symmetric,0.05,0.95,True,80,4,20,False
synth-skew-wide,db,symmetric,0.1,0.95,True,80,4,20,False
synth-skew-wide,db,symmetric,0.2,,False,80,4,20,False
synth-skew-wide,threshold,severity,0.05,,False,80,4,20,False
synth-skew-wide,threshold,severity,0.1,,False,80,4,20,True
synth-skew-wide,threshold,severity,0.2,,False,80,4,20,False
synth-skew-wide,threshold,symmetric,0.05,,False,80,4,20,False
synth-skew-wide,threshold,symmetric,0.1,,False,80,4,20,False
synth-skew-wide,threshold,symmetric,0.2,,False,80,4,20,False
synth-sym-tight,db,severity,0.05,,False,80,4,20,False
synth-sym-tight,db,severity,0.1,,False,80,4,20,False
synth-sym-tight,db,severity,0.2,,False,80,4,20,False
synth-sym-tight,db,symmetric,0.05,,False,80,4,20,False
synth-sym-tight,db,symmetric,0.1,,False,80,4,20,False
synth-sym-tight,db,symmetric,0.2,,False,80,4,20,False
synth-sym-tight,threshold,severity,0.05,,False,80,4,20,False
synth-sym-tight,threshold,severity,0.1,,False,80,4,20,True
synth-sym-tight,threshold,severity,0.2,,False,80,4,20,False
synth-sym-tight,threshold,symmetric,0.05,,False,80,4,20,False
synth-sym-tight,threshold,symmetric,0.1,,False,80,4,20,False
synth-sym-tight,threshold,symmetric,0.2,,False,80,4,20,False
synth-sym-wide,db,severity,0.05,0.95,True,80,4,20,False
synth-sym-wide,db,severity,0.1,0.95,True,80,4,20,False
synth-sym-wide,db,severity,0.2,0.95,True,80,4,20,False
synth-sym-wide,db,symmetric,0.05,0.95,True,80,4,20,False
synth-sym-wide,db,symmetric,0.1,0.95,True,80,4,20,False
synth-sym-wide,db,symmetric,0.2,,False,80,4,20,False
synth-sym-wide,threshold,severity,0.05,,False,80,4,20,False
synth-sym-wide,threshold,severity,0.1,,False,80,4,20,True
synth-sym-wide,threshold,severity,0.2,,False,80,4,20,False
synth-sym-wide,threshold,symmetric,0.05,,False,80,4,20,False
synth-sym-wide,threshold,symmetric,0.1,,False,80,4,20,False
synth-sym-wide,threshold,symmetric,0.2,,False,80,4,20,False
wine,db,severity,0.05,,False,55,13,5,False
wine,db,severity,0.1,,False,55,13,5,False
wine,db,severity,0.2,,False,55,13,5,False
wine,db,symmetric,0.05,,False,55,13,5,False
wine,db,symmetric,0.1,,False,55,13,5,False
wine,db,symmetric,0.2,,False,55,13,5,False
wine,threshold,severity,0.05,,False,55,13,5,False
wine,threshold,severity,0.1,,False,55,13,5,True
wine,threshold,severity,0.2,,False,55,13,5,False
wine,threshold,symmetric,0.05,0.95,True,55,13,5,False
wine,threshold,symmetric,0.1,0.95,True,55,13,5,False
wine,threshold,symmetric,0.2,,False,55,13,5,False
