seed_a,seed_b,leaf_a,leaf_b,match_jaccard,n_a,n_b,method,t,jaccard_admitted,weak_match
0,1,1,0,1.0,31,31,threshold,1.0,1.0,False
0,1,1,0,1.0,31,31,threshold,0.95,1.0,False
0,1,1,0,1.0,31,31,threshold,0.9,1.0,False
0,1,1,0,1.0,31,31,threshold,0.8,1.0,False
0,1,1,0,1.0,31,31,db,1.0,1.0,False
0,1,1,0,1.0,31,31,db,0.95,1.0,False
0,1,1,0,1.0,31,31,db,0.9,1.0,False
0,1,1,0,1.0,31,31,db,0.8,1.0,False
0,1,0,1,0.98,49,50,threshold,1.0,0.8762886597938144,False
0,1,0,1,0.98,49,50,threshold,0.95,0.9722222222222222,False
0,1,0,1,0.98,49,50,threshold,0.9,0.875,False
0,1,0,1,0.98,49,50,threshold,0.8,0.8,False
0,1,0,1,0.98,49,50,db,1.0,0.8762886597938144,False
0,1,0,1,0.98,49,50,db,0.95,0.8813559322033898,False
0,1,0,1,0.98,49,50,db,0.9,0.7592592592592593,False
0,1,0,1,0.98,49,50,db,0.8,0.7419354838709677,False
0,1,2,3,0.9714285714285714,34,35,threshold,1.0,0.975609756097561,False
0,1,2,3,0.9714285714285714,34,35,threshold,0.95,1.0,False
0,1,2,3,0.9714285714285714,34,35,threshold,0.9,0.8,False
0,1,2,3,0.9714285714285714,34,35,threshold,0.8,1.0,False
0,1,2,3,0.9714285714285714,34,35,db,1.0,0.975609756097561,False
0,1,2,3,0.9714285714285714,34,35,db,0.95,0.8666666666666667,False
0,1,2,3,0.9714285714285714,34,35,db,0.9,0.875,False
0,1,2,3,0.9714285714285714,34,35,db,0.8,0.325,False
0,1,12,9,0.950920245398773,163,155,threshold,1.0,0.7665369649805448,False
0,1,12,9,0.950920245398773,163,155,threshold,0.95,0.9272727272727272,False
0,1,12,9,0.950920245398773,163,155,threshold,0.9,0.9014084507042254,False
0,1,12,9,0.950920245398773,163,155,threshold,0.8,0.9090909090909091,False
0,1,12,9,0.950920245398773,163,155,db,1.0,0.7665369649805448,False
0,1,12,9,0.950920245398773,163,155,db,0.95,0.7905405405405406,False
0,1,12,9,0.950920245398773,163,155,db,0.9,0.9507042253521126,False
0,1,12,9,0.950920245398773,163,155,db,0.8,0.5497076023391813,False
0,1,11,8,0.9411764705882353,83,82,threshold,1.0,0.9238578680203046,False
0,1,11,8,0.9411764705882353,83,82,threshold,0.95,0.9861111111111112,False
0,1,11,8,0.9411764705882353,83,82,threshold,0.9,0.8913043478260869,False
0,1,11,8,0.9411764705882353,83,82,threshold,0.8,0.9047619047619048,False
0,1,11,8,0.9411764705882353,83,82,db,1.0,0.9238578680203046,False
