arm,method,split,delta,metric,t,n_pairs,median_delta,win_rate,wilcoxon_p,rank_biserial,median_value,median_strict,median_f1,f1_ratio,median_coverage,primary,p_holm
synth-bimodal-tight,db,severity,0.05,jaccard_admitted,0.95,80,0.11205123432885461,1.0,7.849526548031477e-15,1.0,0.8320264596032003,0.718824372269887,0.8398109243697479,0.8818014705882353,0.22916666666666666,False,2.3548579644094432e-14
synth-bimodal-tight,db,severity,0.05,jaccard_admitted,0.9,80,0.0827080573173406,0.8875,4.255070458353734e-13,0.775,0.8068474472685905,0.718824372269887,0.7924528301886793,0.8320754716981134,0.20625,False,8.510140916707468e-13
synth-bimodal-tight,db,severity,0.05,jaccard_admitted,0.8,80,0.04190981511029146,0.625,0.0002773497778044169,0.25,0.7590936174096821,0.718824372269887,0.8205128205128205,0.8615384615384616,0.225,False,0.0002773497778044169
synth-bimodal-tight,db,severity,0.05,f1_sd,0.95,80,-0.042705451417776916,1.0,7.849526548031477e-15,1.0,0.015661675190729,0.05737074820376474,0.8398109243697479,0.8818014705882353,0.22916666666666666,False,2.3548579644094432e-14
synth-bimodal-tight,db,severity,0.05,f1_sd,0.9,80,-0.04103442066464236,1.0,7.849526548031477e-15,1.0,0.016503527146558943,0.05737074820376474,0.7924528301886793,0.8320754716981134,0.20625,False,2.3548579644094432e-14
synth-bimodal-tight,db,severity,0.05,f1_sd,0.8,80,-0.03726083510535753,0.9375,1.489300950098453e-14,0.875,0.01352520153566486,0.05737074820376474,0.8205128205128205,0.8615384615384616,0.225,False,2.3548579644094432e-14
synth-bimodal-tight,db,severity,0.1,jaccard_admitted,0.95,80,0.046921615918800064,0.8875,2.9814050388499897e-12,0.775,0.7143416655850512,0.6682764822932263,0.8398109243697479,0.8818014705882353,0.22916666666666666,False,5.9628100776999795e-12
synth-bimodal-tight,db,severity,0.1,jaccard_admitted,0.9,80,0.11382088707082844,0.9875,8.152358880315248e-15,0.975,0.793758788133661,0.6682764822932263,0.7924528301886793,0.8320754716981134,0.20625,False,2.4457076640945743e-14
synth-bimodal-tight,db,severity,0.1,jaccard_admitted,0.8,80,0.03950761036855277,0.7375,4.6335278758879815e-07,0.475,0.7101133094883677,0.6682764822932263,0.8205128205128205,0.8615384615384616,0.225,False,4.6335278758879815e-07
synth-bimodal-tight,db,severity,0.1,f1_sd,0.95,80,-0.01942091216489129,0.9875,8.792926151362765e-15,0.975,0.03017395483660308,0.05070071984017827,0.8398109243697479,0.8818014705882353,0.22916666666666666,False,2.3548579644094432e-14
synth-bimodal-tight,db,severity,0.1,f1_sd,0.9,80,-0.02829101431491176,1.0,7.849526548031477e-15,1.0,0.022347145584560586,0.05070071984017827,0.7924528301886793,0.8320754716981134,0.20625,False,2.3548579644094432e-14
synth-bimodal-tight,db,severity,0.1,f1_sd,0.8,80,-0.023692250999289288,0.9625,1.0619072426644933e-14,0.925,0.026861396649148966,0.05070071984017827,0.8205128205128205,0.8615384615384616,0.225,False,2.3548579644094432e-14
synth-bimodal-tight,db,severity,0.2,jaccard_admitted,0.95,80,-0.0934520057491619,0.0,7.849526548031477e-15,-1.0,0.5254030534574599,0.6095638322266518,0.8398109243697479,0.8818014705882353,0.22916666666666666,False,2.3548579644094432e-14
synth-bimodal-tight,db,severity,0.2,jaccard_admitted,0.9,80,0.04255179265262815,0.8125,2.6137118998762254e-11,0.625,0.6598691355415931,0.6095638322266518,0.7924528301886793,0.8320754716981134,0.20625,False,5.227423799752451e-11
