dataset,t,median,count,median_of_build_medians
Breast cancer (Low),0.8,0.038461538461538464,37,0.037037037037037035
Breast cancer (Low),0.9,0.17543859649122806,37,0.17592592592592593
Breast cancer (Low),0.95,0.3448275862068966,37,0.3333333333333333
Breast cancer (Low),1.0,1.0,37,1.0
Digits (Low),0.8,0.03,79,0.03015151515151515
Digits (Low),0.9,0.1791044776119403,79,0.18046132971506107
Digits (Low),0.95,0.37735849056603776,79,0.3783783783783784
Digits (Low),1.0,1.0,79,1.0
Wine quality (Low),0.8,0.1619047619047619,79,0.16
Wine quality (Low),0.9,0.40425531914893614,79,0.4
Wine quality (Low),0.95,0.574468085106383,79,0.5729483282674772
Wine quality (Low),1.0,1.0,79,1.0
