dataset,build,leaf_id,leaf_n,leaf_depth,k,degenerate,eligible,trust_leaf,trust_root,cont_leaf,cont_root,delta_trust,delta_cont
Wine quality (Low),0,0,81,2,20,False,True,0.8597848673756265,0.8543821048771545,0.8923725705903923,0.8913091309130914,0.005402762498472047,0.001063439677300937
Wine quality (Low),0,1,25,4,12,False,False,0.8138461538461538,0.693846153846154,0.8317948717948718,0.7364102564102564,0.11999999999999977,0.0953846153846154
Wine quality (Low),0,2,25,4,12,False,False,0.7384615384615385,0.7610256410256412,0.7861538461538463,0.7887179487179486,-0.022564102564102684,-0.002564102564102333
Wine quality (Low),0,3,35,3,17,False,False,0.7028944911297852,0.6896358543417367,0.7542483660130721,0.777217553688142,0.013258636788048506,-0.022969187675069946
Wine quality (Low),0,4,31,2,15,False,False,0.7645161290322581,0.8131720430107526,0.7201612903225806,0.8370967741935483,-0.04865591397849456,-0.11693548387096775
Wine quality (Low),0,5,46,2,20,False,True,0.8699859747545583,0.8858345021037869,0.9131837307152872,0.9342215988779804,-0.01584852734922859,-0.021037868162693152
Wine quality (Low),0,6,34,2,16,False,False,0.8403637770897833,0.8395897832817337,0.8581656346749226,0.838235294117647,0.0007739938080495445,0.019930340557275605
Wine quality (Low),0,7,33,2,16,False,False,0.7655971479500892,0.7399732620320857,0.8094919786096257,0.7486631016042782,0.025623885918003464,0.06082887700534756
Wine quality (Low),0,8,49,2,20,False,True,0.8333149476006619,0.8073359073359073,0.8404302261445119,0.8388306674020959,0.025979040264754616,0.0015995587424160185
Wine quality (Low),0,9,39,2,19,False,False,0.7916329284750337,0.7634278002699055,0.8304993252361674,0.769365721997301,0.028205128205128216,0.06113360323886641
Wine quality (Low),0,10,39,2,19,False,False,0.7411605937921727,0.7647773279352227,0.8183535762483131,0.8114709851551958,-0.02361673414304999,0.006882591093117285
Wine quality (Low),0,11,51,2,20,False,True,0.8057388809182207,0.7576279292204687,0.8134385461501675,0.7859397417503587,0.048110951697751925,0.027498804399808785
