dataset,build,n_leaves_scored,trustworthiness_mean,trustworthiness_wmean,continuity_mean,continuity_wmean
Breast cancer (Low),0,9,0.7848093690266964,0.7843687523043652,0.8148662805405169,0.8127244085646886
Breast cancer (Low),1,7,0.7594159697960384,0.762222546476286,0.7645960168457331,0.7687739823144112
Breast cancer (Low),2,8,0.7906990386513444,0.8057557204560272,0.8140307059055862,0.8271858702271965
Breast cancer (Low),3,7,0.787856290763937,0.7950801484859799,0.775716491199164,0.7925560315366598
Breast cancer (Low),4,6,0.7846589090918537,0.8007525985708036,0.8096549888768273,0.8244476673135188
Digits (Low),0,16,0.8344966531700515,0.8425012882112196,0.855510869763336,0.8631495617247433
Digits (Low),1,15,0.836923450704805,0.8443855444892989,0.8555428751695688,0.864442293765579
Digits (Low),2,15,0.829219297218217,0.8413541188050337,0.8429954897829458,0.8562065539747999
Digits (Low),3,17,0.8332885359612858,0.8455318554193542,0.8421653110431458,0.8522444139604701
Digits (Low),4,16,0.8380138976921003,0.8516014651715202,0.8540997669601755,0.8674572320541888
Wine quality (Low),0,15,0.8000613264407517,0.8102077580842616,0.8279342636108815,0.8379932563565979
Wine quality (Low),1,16,0.8053131409774156,0.8142016454445408,0.8268943852600118,0.8379746339091204
Wine quality (Low),2,16,0.8244760870834196,0.8321494439330307,0.8513728094254922,0.8552723734362938
Wine quality (Low),3,17,0.8112991754981026,0.8241373960214021,0.8349596328340468,0.8467302542268001
Wine quality (Low),4,15,0.825432391572814,0.8395530229063531,0.848130454774716,0.8599638732165565
