dataset,build,leaf_id,leaf_n,leaf_depth,method,t,length,f1,precision,recall,coverage,clauses_json
Wine quality (Low),0,0,81,2,threshold,1.0,11,0.6159695817490494,0.44505494505494503,1.0,0.182,
Wine quality (Low),0,0,81,2,threshold,0.95,11,0.7564102564102564,0.7866666666666666,0.7283950617283951,0.075,
Wine quality (Low),0,0,81,2,threshold,0.9,11,0.6290322580645161,0.9069767441860465,0.48148148148148145,0.043,
Wine quality (Low),0,0,81,2,threshold,0.8,11,0.3636363636363636,1.0,0.2222222222222222,0.018,
Wine quality (Low),0,0,81,2,db,1.0,11,0.6159695817490494,0.44505494505494503,1.0,0.182,"[{""feature"": ""fixed acidity"", ""sel_min"": -0.23050526353969458, ""sel_max"": 6.107861286589392, ""in_predicate"": true, ""step"": 0}, {""feature"": ""volatile acidity"", ""sel_min"": -0.9419373133812444, ""sel_max"": 3.2163384591778783, ""in_predicate"": true, ""step"": 7}, {""feature"": ""citric acid"", ""sel_min"": -0.9707641863332885, ""sel_max"": 4.474490085861276, ""in_predicate"": true, ""step"": 2}, {""feature"": ""residual sugar"", ""sel_min"": -0.8709746405993463, ""sel_max"": 2.1583155499410536, ""in_predicate"": true, ""step"": 5}, {""feature"": ""chlorides"", ""sel_min"": -0.4793522433323681, ""sel_max"": 14.982749832296493, ""in_predicate"": true, ""step"": 8}, {""feature"": ""free sulfur dioxide"", ""sel_min"": -1.5387770018747466, ""sel_max"": 1.3808371078250261, ""in_predicate"": true, ""step"": 6}, {""feature"": ""total sulfur dioxide"", ""sel_min"": -1.9269471029567347, ""sel_max"": 1.8689794028585829, ""in_predicate"": true, ""step"": 10}, {""feature"": ""density"", ""sel_min"": -0.43507411769018867, ""sel_max"": 3.0163317157681737, ""in_predicate"": true, ""step"": 3}, {""feature"": ""pH"", ""sel_min"": -2.874091016269795, ""sel_max"": 1.3088387119645168, ""in_predicate"": true, ""step"": 4}, {""feature"": ""sulphates"", ""sel_min"": -0.32093252467221967, ""sel_max"": 9.193743455467697, ""in_predicate"": true, ""step"": 1}, {""feature"": ""alcohol"", ""sel_min"": -1.2262952071032196, ""sel_max"": 3.660443016038144, ""in_predicate"": true, ""step"": 9}]"
Wine quality (Low),0,0,81,2,db,0.95,9,0.7721518987341771,0.7922077922077922,0.7530864197530864,0.077,"[{""feature"": ""fixed acidity"", ""sel_min"": -0.08965267353682647, ""sel_max"": 5.669653228802691, ""in_predicate"": true, ""step"": 1}, {""feature"": ""volatile acidity"", ""sel_min"": -0.766235520174521, ""sel_max"": 1.7814404813229696, ""in_predicate"": true, ""step"": 6}, {""feature"": ""citric acid"", ""sel_min"": -0.73837853442079, ""sel_max"": 2.8043170161636257, ""in_predicate"": true, ""step"": 3}, {""feature"": ""residual sugar"", ""sel_min"": -0.8709746405993463, ""sel_max"": 0.27698935998067264, ""in_predicate"": true, ""step"": 7}, {""feature"": ""chlorides"", ""sel_min"": -0.41106197619140855, ""sel_max"": 5.502780310622421, ""in_predicate"": true, ""step"": 5}, {""feature"": ""free sulfur dioxide"", ""sel_min"": -1.5387770018747466, ""sel_max"": 0.0721935054004231, ""in_predicate"": true, ""step"": 8}, {""feature"": ""total sulfur dioxide"", ""sel_min"": -1.9269471029567347, ""sel_max"": -0.24183954196395346, ""in_predicate"": true, ""step"": 0}, {""feature"": ""density"", ""sel_min"": -0.3216331218629485, ""sel_max"": 2.7647589293541466, ""in_predicate"": false, ""step"": null}, {""feature"": ""pH"", ""sel_min"": -1.774578059133919, ""sel_max"": 1.069814156065413, ""in_predicate"": true, ""step"": 4}, {""feature"": ""sulphates"", ""sel_min"": -0.235274084407802, ""sel_max"": 4.617606012110922, ""in_predicate"": true, ""step"": 2}, {""feature"": ""alcohol"", ""sel_min"": -1.2262952071032196, ""sel_max"": 1.828442619255756, ""in_predicate"": false, ""step"": null}]"
Wine quality (Low),0,0,81,2,db,0.9,5,0.7189542483660132,0.7638888888888888,0.6790123456790124,0.072,
Wine quality (Low),0,0,81,2,db,0.8,3,0.6993006993006994,0.8064516129032258,0.6172839506172839,0.062,
Wine quality (Low),0,1,25,4,threshold,1.0,11,0.7936507936507937,0.6578947368421053,1.0,0.038,
Wine quality (Low),0,1,25,4,threshold,0.95,11,0.5365853658536586,0.6875,0.44,0.016,
Wine quality (Low),0,1,25,4,threshold,0.9,11,0.36363636363636365,0.75,0.24,0.008,
Wine quality (Low),0,1,25,4,threshold,0.8,11,0.2758620689655173,1.0,0.16,0.004,
Wine quality (Low),0,1,25,4,db,1.0,9,0.7936507936507937,0.6578947368421053,1.0,0.038,"[{""feature"": ""fixed acidity"", ""sel_min"": -0.9347682135540376, ""sel_max"": 0.5441839814760825, ""in_predicate"": true, ""step"": 6}, {""feature"": ""volatile acidity"", ""sel_min"": 0.5222442966747846, ""sel_max"": 1.9278586423285726, ""in_predicate"": true, ""step"": 1}, {""feature"": ""citric acid"", ""sel_min"": -2.08605723003579, ""sel_max"": -0.7083422936974061, ""in_predicate"": true, ""step"": 0}, {""feature"": ""residual sugar"", ""sel_min"": -0.8280059854143759, ""sel_max"": -0.63464703708201, ""in_predicate"": true, ""step"": 4}, {""feature"": ""chlorides"", ""sel_min"": 0.17054346562576278, ""sel_max"": 1.5786508350350463, ""in_predicate"": true, ""step"": 3}, {""feature"": ""free sulfur dioxide"", ""sel_min"": -1.3703377263151444, ""sel_max"": 0.2017621789078102, ""in_predicate"": true, ""step"": 7}, {""feature"": ""total sulfur dioxide"", ""sel_min"": -1.7850433083468162, ""sel_max"": -0.4014813109001117, ""in_predicate"": true, ""step"": 5}, {""feature"": ""density"", ""sel_min"": -0.38793296484294265, ""sel_max"": 1.3360863392845592, ""in_predicate"": true, ""step"": 8}, {""feature"": ""pH"", ""sel_min"": 0.41249662734287895, ""sel_max"": 2.324693074535707, ""in_predicate"": true, ""step"": 2}, {""feature"": ""sulphates"", ""sel_min"": -0.508722182174981, ""sel_max"": 1.8073502603590772, ""in_predicate"": false, ""step"": null}, {""feature"": ""alcohol"", ""sel_min"": -0.9778169923672176, ""sel_max"": 1.0100087255207935, ""in_predicate"": false, ""step"": null}]"
Wine quality (Low),0,1,25,4,db,0.95,5,0.72,0.72,0.72,0.025,"[{""feature"": ""fixed acidity"", ""sel_min"": -0.846232299837949, ""sel_max"": 0.5039403843324057, ""in_predicate"": false, ""step"": null}, {""feature"": ""volatile acidity"", ""sel_min"": 0.6862326370010599, ""sel_max"": 1.8692913779263316, ""in_predicate"": true, ""step"": 2}, {""feature"": ""citric acid"", ""sel_min"": -2.074810577494252, ""sel_max"": -0.7870688614881722, ""in_predicate"": true, ""step"": 0}, {""feature"": ""residual sugar"", ""sel_min"": -0.8165476773650505, ""sel_max"": -0.6489699221436668, ""in_predicate"": false, ""step"": null}, {""feature"": ""chlorides"", ""sel_min"": 0.20303825107366938, ""sel_max"": 1.042486875144587, ""in_predicate"": true, ""step"": 3}, {""feature"": ""free sulfur dioxide"", ""sel_min"": -1.3486812480289099, ""sel_max"": 0.11032371503259766, ""in_predicate"": true, ""step"": 4}, {""feature"": ""total sulfur dioxide"", ""sel_min"": -1.7793125781798773, ""sel_max"": -1.0081200328575133, ""in_predicate"": true, ""step"": 1}, {""feature"": ""density"", ""sel_min"": -0.161876405330182, ""sel_max"": 1.0241181854813348, ""in_predicate"": false, ""step"": null}, {""feature"": ""pH"", ""sel_min"": 0.48644484932416365, ""sel_max"": 2.1835191962077993, ""in_predicate"": false, ""step"": null}, {""feature"": ""sulphates"", ""sel_min"": -0.19810793787311562, ""sel_max"": 1.7667470911692913, ""in_predicate"": false, ""step"": null}, {""feature"": ""alcohol"", ""sel_min"": -0.8867083136306839, ""sel_max"": 0.9023348324685267, ""in_predicate"": false, ""step"": null}]"
Wine quality (Low),0,1,25,4,db,0.9,4,0.7391304347826089,0.8095238095238095,0.68,0.021,
Wine quality (Low),0,1,25,4,db,0.8,4,0.6842105263157895,1.0,0.52,0.013,
Wine quality (Low),0,2,25,4,threshold,1.0,11,0.8928571428571428,0.8064516129032258,1.0,0.031,
Wine quality (Low),0,2,25,4,threshold,0.95,11,0.6153846153846153,0.8571428571428571,0.48,0.014,
Wine quality (Low),0,2,25,4,threshold,0.9,11,0.43750000000000006,1.0,0.28,0.007,
Wine quality (Low),0,2,25,4,threshold,0.8,11,0.21428571428571425,1.0,0.12,0.003,
