dataset,build,leaf_id,leaf_n,leaf_depth,majority_class,purity,global_share,enrichment,trustworthiness,continuity
Wine quality (Low),0,0,81,2,1,0.9876543209876543,0.243,4.064421074023269,0.8597848673756265,0.8923725705903923
Wine quality (Low),0,1,25,4,1,1.0,0.243,4.11522633744856,0.8138461538461538,0.8317948717948718
Wine quality (Low),0,2,25,4,1,1.0,0.243,4.11522633744856,0.7384615384615385,0.7861538461538463
Wine quality (Low),0,3,35,3,1,0.8857142857142857,0.243,3.6449147560258672,0.7028944911297852,0.7542483660130721
Wine quality (Low),0,4,31,2,0,1.0,0.757,1.321003963011889,0.7645161290322581,0.7201612903225806
Wine quality (Low),0,5,46,2,0,1.0,0.757,1.321003963011889,0.8699859747545583,0.9131837307152872
Wine quality (Low),0,6,34,2,0,1.0,0.757,1.321003963011889,0.8403637770897833,0.8581656346749226
Wine quality (Low),0,7,33,2,0,1.0,0.757,1.321003963011889,0.7655971479500892,0.8094919786096257
Wine quality (Low),0,8,49,2,0,1.0,0.757,1.321003963011889,0.8333149476006619,0.8404302261445119
Wine quality (Low),0,9,39,2,0,1.0,0.757,1.321003963011889,0.7916329284750337,0.8304993252361674
Wine quality (Low),0,10,39,2,0,1.0,0.757,1.321003963011889,0.7411605937921727,0.8183535762483131
Wine quality (Low),0,11,51,2,0,1.0,0.757,1.321003963011889,0.8057388809182207,0.8134385461501675
Wine quality (Low),0,12,44,2,0,1.0,0.757,1.321003963011889,0.8089225589225588,0.8365319865319866
Wine quality (Low),0,13,69,2,0,1.0,0.757,1.321003963011889,0.8444569922830791,0.8696969696969695
Wine quality (Low),0,14,76,2,0,1.0,0.757,1.321003963011889,0.820242914979757,0.8444910352805091
Wine quality (Low),1,0,43,3,1,0.9302325581395349,0.243,3.8281175232079625,0.7540465116279069,0.7912558139534882
Wine quality (Low),1,1,79,3,1,0.9873417721518988,0.243,4.063134864822628,0.8257340467179956,0.8537517943364219
Wine quality (Low),1,2,78,2,1,0.9871794871794872,0.243,4.062467025429989,0.8622537112010797,0.886828609986505
Wine quality (Low),1,3,35,1,0,0.9714285714285714,0.757,1.2832609926401208,0.8276377217553689,0.8224089635854342
Wine quality (Low),1,4,47,2,0,1.0,0.757,1.321003963011889,0.893359123146357,0.9270148291424888
Wine quality (Low),1,5,32,2,0,1.0,0.757,1.321003963011889,0.7819444444444443,0.8208333333333333
Wine quality (Low),1,6,68,2,0,1.0,0.757,1.321003963011889,0.8699411764705882,0.9137058823529411
Wine quality (Low),1,7,57,2,0,1.0,0.757,1.321003963011889,0.8393247269116187,0.8641840450182059
Wine quality (Low),1,8,37,2,0,1.0,0.757,1.321003963011889,0.7022285443338077,0.7547020704915441
Wine quality (Low),1,9,37,3,0,1.0,0.757,1.321003963011889,0.8430535798956851,0.8052789631737001
Wine quality (Low),1,10,27,3,0,1.0,0.757,1.321003963011889,0.7570207570207571,0.733007733007733
Wine quality (Low),1,11,39,3,0,1.0,0.757,1.321003963011889,0.758029689608637,0.7390013495276654
Wine quality (Low),1,12,46,3,0,1.0,0.757,1.321003963011889,0.746704067321178,0.7657784011220198
Wine quality (Low),1,13,33,2,0,1.0,0.757,1.321003963011889,0.7615864527629234,0.8299910873440286
Wine quality (Low),1,14,42,2,0,1.0,0.757,1.321003963011889,0.793167701863354,0.8416149068322982
Wine quality (Low),1,15,38,2,0,1.0,0.757,1.321003963011889,0.8689780005569482,0.8809523809523809
Wine quality (Low),2,0,71,2,1,1.0,0.243,4.11522633744856,0.8693270735524258,0.8896191966614502
Wine quality (Low),2,1,37,3,1,0.8918918918918919,0.243,3.670337003670337,0.7597597597597597,0.7780938833570412
Wine quality (Low),2,2,74,3,1,0.9864864864864865,0.243,4.059615170726282,0.8581702392047219,0.858170239204722
Wine quality (Low),2,3,45,3,0,1.0,0.757,1.321003963011889,0.8476628352490423,0.8814559386973181
Wine quality (Low),2,4,48,3,0,1.0,0.757,1.321003963011889,0.8458928571428572,0.868095238095238
Wine quality (Low),2,5,33,3,0,1.0,0.757,1.321003963011889,0.8021390374331552,0.8471479500891267
Wine quality (Low),2,6,33,3,0,1.0,0.757,1.321003963011889,0.7807486631016043,0.823752228163993
Wine quality (Low),2,7,48,3,0,1.0,0.757,1.321003963011889,0.8117857142857142,0.8545238095238096
Wine quality (Low),2,8,63,3,0,1.0,0.757,1.321003963011889,0.8571916971916971,0.8687667887667888
Wine quality (Low),2,9,31,3,0,1.0,0.757,1.321003963011889,0.7268817204301075,0.8024193548387097
Wine quality (Low),2,10,50,3,0,1.0,0.757,1.321003963011889,0.8700512820512819,0.8379487179487178
Wine quality (Low),2,11,49,3,0,1.0,0.757,1.321003963011889,0.8324324324324326,0.8313844456701601
Wine quality (Low),2,12,36,3,0,1.0,0.757,1.321003963011889,0.7931372549019607,0.8370915032679738
Wine quality (Low),2,13,52,3,0,1.0,0.757,1.321003963011889,0.8215116279069767,0.8511627906976746
Wine quality (Low),2,14,46,2,0,1.0,0.757,1.321003963011889,0.8711079943899019,0.9159887798036463
Wine quality (Low),2,15,31,2,0,1.0,0.757,1.321003963011889,0.8438172043010752,0.8763440860215055
Wine quality (Low),3,0,34,3,0,0.9705882352941176,0.757,1.2821509052762452,0.8419117647058824,0.8788699690402477
Wine quality (Low),3,1,49,3,0,1.0,0.757,1.321003963011889,0.8494760066188637,0.8703805846662991
Wine quality (Low),3,2,37,3,0,1.0,0.757,1.321003963011889,0.8141299193930773,0.80891417733523
Wine quality (Low),3,3,70,3,0,1.0,0.757,1.321003963011889,0.8655877034358047,0.8761482820976492
Wine quality (Low),3,4,45,3,0,1.0,0.757,1.321003963011889,0.8349425287356321,0.8414559386973183
Wine quality (Low),3,5,34,3,0,1.0,0.757,1.321003963011889,0.810952012383901,0.8436532507739939
Wine quality (Low),3,6,26,3,0,1.0,0.757,1.321003963011889,0.7636752136752136,0.7935897435897434
Wine quality (Low),3,7,50,3,0,1.0,0.757,1.321003963011889,0.7780000000000001,0.8023589743589744
Wine quality (Low),3,8,69,3,0,1.0,0.757,1.321003963011889,0.8653679653679653,0.8910784867306607
Wine quality (Low),3,9,77,3,0,1.0,0.757,1.321003963011889,0.8037983521854488,0.8374668342410277
Wine quality (Low),3,10,28,3,0,1.0,0.757,1.321003963011889,0.7884615384615383,0.7726648351648351
Wine quality (Low),3,11,48,2,0,1.0,0.757,1.321003963011889,0.8854761904761905,0.9224404761904762
Wine quality (Low),3,12,31,2,0,1.0,0.757,1.321003963011889,0.7919354838709678,0.7913978494623658
Wine quality (Low),3,13,26,3,1,0.8846153846153846,0.243,3.640392529281418,0.7329059829059829,0.7777777777777778
Wine quality (Low),3,14,115,3,1,0.9739130434782609,0.243,4.007872606906424,0.8568613326472858,0.8720246977103163
Wine quality (Low),3,15,25,3,1,1.0,0.243,4.11522633744856,0.778974358974359,0.8092307692307692
Wine quality (Low),3,16,32,3,1,1.0,0.243,4.11522633744856,0.7296296296296296,0.8048611111111111
Wine quality (Low),4,0,44,3,0,1.0,0.757,1.321003963011889,0.8569865319865321,0.8611952861952862
Wine quality (Low),4,1,40,3,0,1.0,0.757,1.321003963011889,0.8034688995215312,0.8155502392344498
Wine quality (Low),4,2,52,4,0,1.0,0.757,1.321003963011889,0.773345259391771,0.7849731663685151
Wine quality (Low),4,3,55,4,0,1.0,0.757,1.321003963011889,0.8825974025974026,0.8967717996289426
Wine quality (Low),4,4,39,3,0,1.0,0.757,1.321003963011889,0.7695006747638328,0.8056680161943321
Wine quality (Low),4,5,28,3,0,1.0,0.757,1.321003963011889,0.7881181318681317,0.7623626373626374
Wine quality (Low),4,6,33,3,0,0.9696969696969697,0.757,1.2809735398903166,0.7912210338680926,0.7932263814616757
Wine quality (Low),4,7,33,3,0,1.0,0.757,1.321003963011889,0.7404188948306595,0.7482174688057041
Wine quality (Low),4,8,26,4,0,1.0,0.757,1.321003963011889,0.8465811965811965,0.9316239316239316
Wine quality (Low),4,9,76,4,0,1.0,0.757,1.321003963011889,0.8740746096009254,0.8975274725274729
Wine quality (Low),4,10,49,2,0,1.0,0.757,1.321003963011889,0.8847214561500275,0.916657473800331
Wine quality (Low),4,11,31,2,0,1.0,0.757,1.321003963011889,0.8352150537634407,0.8682795698924731
Wine quality (Low),4,12,69,2,1,1.0,0.243,4.11522633744856,0.8808959156785244,0.9146997929606625
Wine quality (Low),4,13,28,2,1,0.8928571428571429,0.243,3.674309229864786,0.7661401098901098,0.8307005494505495
Wine quality (Low),4,14,105,2,1,0.9809523809523809,0.243,4.036841073878111,0.888200703100032,0.8945030361137744
Breast cancer (Low),0,0,29,2,1,0.7931034482758621,0.6274165202108963,1.264078045011108,0.8111658456486045,0.8417077175697866
Breast cancer (Low),0,1,39,2,1,0.9487179487179487,0.6274165202108963,1.5121022768081591,0.7110661268556004,0.7454790823211875
Breast cancer (Low),0,2,26,2,1,0.9615384615384616,0.6274165202108963,1.5325360913596207,0.782051282051282,0.8444444444444444
Breast cancer (Low),0,3,40,2,1,1.0,0.6274165202108963,1.5938375350140055,0.7813397129186603,0.8133971291866029
Breast cancer (Low),0,4,44,3,1,1.0,0.6274165202108963,1.5938375350140055,0.7728956228956229,0.7787037037037038
Breast cancer (Low),0,5,27,3,1,1.0,0.6274165202108963,1.5938375350140055,0.754985754985755,0.7802197802197802
Breast cancer (Low),0,6,28,2,0,1.0,0.37258347978910367,2.6839622641509435,0.8358516483516484,0.8550824175824175
Breast cancer (Low),0,7,37,2,0,1.0,0.37258347978910367,2.6839622641509435,0.8071755966492807,0.8473210052157422
Breast cancer (Low),0,8,57,1,0,0.9649122807017544,0.37258347978910367,2.5897881496193316,0.8067527308838134,0.8274412446209864
Breast cancer (Low),1,0,42,2,1,0.8809523809523809,0.6274165202108963,1.404094971321862,0.7007246376811594,0.7059006211180124
Breast cancer (Low),1,1,25,3,1,1.0,0.6274165202108963,1.5938375350140055,0.8097435897435896,0.8282051282051281
Breast cancer (Low),1,2,26,3,1,1.0,0.6274165202108963,1.5938375350140055,0.7128205128205126,0.6880341880341879
Breast cancer (Low),1,3,29,2,0,1.0,0.37258347978910367,2.6839622641509435,0.8013136288998358,0.8174055829228244
Breast cancer (Low),1,4,25,3,0,1.0,0.37258347978910367,2.6839622641509435,0.6902564102564103,0.7384615384615385
Breast cancer (Low),1,5,27,3,0,1.0,0.37258347978910367,2.6839622641509435,0.798941798941799,0.754985754985755
Breast cancer (Low),1,6,59,1,0,0.9661016949152542,0.37258347978910367,2.5929804924848097,0.8021112102289623,0.8191793041926851
Breast cancer (Low),2,0,40,2,1,0.9,0.6274165202108963,1.434453781512605,0.7307416267942584,0.7261961722488038
Breast cancer (Low),2,1,28,3,1,0.9285714285714286,0.6274165202108963,1.4799919967987194,0.8447802197802198,0.8715659340659341
Breast cancer (Low),2,2,30,4,1,0.9666666666666667,0.6274165202108963,1.5407096171802053,0.7168067226890756,0.758543417366947
Breast cancer (Low),2,3,42,4,1,1.0,0.6274165202108963,1.5938375350140055,0.7955486542443063,0.7917184265010352
Breast cancer (Low),2,4,98,4,1,0.9897959183673469,0.6274165202108963,1.5775738866975362,0.8584278155706727,0.878745275888133
Breast cancer (Low),2,5,60,1,0,0.9666666666666667,0.37258347978910367,2.5944968553459122,0.8009604519774011,0.830367231638418
Breast cancer (Low),2,6,27,2,0,1.0,0.37258347978910367,2.6839622641509435,0.7423687423687424,0.796092796092796
Breast cancer (Low),2,7,61,2,0,1.0,0.37258347978910367,2.6839622641509435,0.8359580757860791,0.8590163934426229
Breast cancer (Low),3,0,28,3,1,0.9285714285714286,0.6274165202108963,1.4799919967987194,0.9203296703296704,0.8780906593406594
Breast cancer (Low),3,1,25,3,1,1.0,0.6274165202108963,1.5938375350140055,0.8282051282051284,0.7933333333333333
Breast cancer (Low),3,2,67,3,1,1.0,0.6274165202108963,1.5938375350140055,0.869903905131875,0.8863218155796361
Breast cancer (Low),3,3,42,2,1,0.9285714285714286,0.6274165202108963,1.4799919967987194,0.7158385093167702,0.7315734989648034
Breast cancer (Low),3,4,30,2,0,1.0,0.37258347978910367,2.6839622641509435,0.7372549019607845,0.6997198879551821
Breast cancer (Low),3,5,25,2,0,1.0,0.37258347978910367,2.6839622641509435,0.6676923076923077,0.6405128205128205
Breast cancer (Low),3,6,57,1,0,0.9649122807017544,0.37258347978910367,2.5897881496193316,0.7757696127110227,0.8004634227077126
Breast cancer (Low),4,0,95,3,1,1.0,0.6274165202108963,1.5938375350140055,0.8597144022847817,0.8762790697674421
Breast cancer (Low),4,1,29,3,1,1.0,0.6274165202108963,1.5938375350140055,0.748768472906404,0.7737274220032841
Breast cancer (Low),4,2,51,2,1,0.7450980392156863,0.6274165202108963,1.1875652221672983,0.8121951219512197,0.8534194165471067
Breast cancer (Low),4,3,43,2,0,1.0,0.37258347978910367,2.6839622641509435,0.6735813953488372,0.7015813953488372
Breast cancer (Low),4,4,65,2,0,1.0,0.37258347978910367,2.6839622641509435,0.8127536231884058,0.8414492753623187
Breast cancer (Low),4,5,58,1,0,0.9482758620689655,0.37258347978910367,2.5451366297983085,0.8009404388714734,0.8114733542319749
Digits (Low),0,0,100,1,0,1.0,0.1,10.0,0.8440791366906475,0.8355323741007191
Digits (Low),0,1,39,2,6,1.0,0.1,10.0,0.7493927125506074,0.7591093117408907
Digits (Low),0,2,60,2,6,0.9666666666666667,0.1,9.666666666666666,0.8612994350282486,0.8809039548022599
Digits (Low),0,3,87,1,7,0.9885057471264368,0.089,11.106806147488054,0.9121961143322146,0.9166208930932763
Digits (Low),0,4,106,1,4,0.9716981132075472,0.107,9.081290777640628,0.8689616393852305,0.9166250156191429
Digits (Low),0,5,30,2,5,1.0,0.095,10.526315789473685,0.827731092436975,0.8229691876750702
Digits (Low),0,6,52,2,5,1.0,0.095,10.526315789473685,0.8838103756708408,0.8974508050089445
Digits (Low),0,7,39,2,2,0.6666666666666666,0.095,7.017543859649122,0.8394062078272605,0.8511470985155197
Digits (Low),0,8,64,2,2,0.984375,0.095,10.361842105263158,0.8230410447761194,0.8583955223880597
Digits (Low),0,9,40,3,3,1.0,0.109,9.174311926605505,0.7686602870813397,0.8210526315789473
Digits (Low),0,10,33,3,3,0.9696969696969697,0.109,8.896302474284125,0.7181372549019607,0.7749554367201426
Digits (Low),0,11,79,2,9,0.9493670886075949,0.102,9.307520476545049,0.7977945974161554,0.8181782591674278
Digits (Low),0,12,53,1,1,0.7547169811320755,0.105,7.187780772686434,0.9045702306079664,0.9249895178197064
Digits (Low),0,13,54,2,1,0.9259259259259259,0.105,8.818342151675486,0.8340425531914893,0.8626477541371159
Digits (Low),0,14,27,3,8,1.0,0.098,10.204081632653061,0.87993487993488,0.8945868945868946
Digits (Low),0,15,32,3,8,0.90625,0.098,9.247448979591836,0.8388888888888888,0.8530092592592593
Digits (Low),1,0,100,1,0,1.0,0.1,10.0,0.8431294964028778,0.8457625899280573
Digits (Low),1,1,60,2,6,0.9666666666666667,0.1,9.666666666666666,0.8492937853107344,0.8638135593220341
Digits (Low),1,2,37,2,6,1.0,0.1,10.0,0.7885253674727358,0.7899478425794216
Digits (Low),1,3,62,2,2,0.967741935483871,0.095,10.186757215619695,0.8220942140296977,0.8500000000000002
Digits (Low),1,4,39,2,2,0.6666666666666666,0.095,7.017543859649122,0.8201079622132252,0.8394062078272605
Digits (Low),1,5,53,1,1,0.7547169811320755,0.105,7.187780772686434,0.910607966457023,0.9235220125786163
Digits (Low),1,6,89,2,8,0.9438202247191011,0.098,9.630818619582664,0.8619610102756169,0.8807260155574764
Digits (Low),1,7,55,2,1,0.9090909090909091,0.105,8.658008658008658,0.8390723562152133,0.8578478664192951
Digits (Low),1,8,25,2,5,0.96,0.095,10.105263157894736,0.8066666666666665,0.8123076923076923
Digits (Low),1,9,31,2,5,1.0,0.095,10.526315789473685,0.8333333333333333,0.8494623655913979
Digits (Low),1,10,76,2,9,0.9736842105263158,0.102,9.54592363261094,0.8115673799884326,0.8326055523423944
Digits (Low),1,11,33,2,3,1.0,0.109,9.174311926605505,0.7976827094474153,0.8270944741532976
Digits (Low),1,12,61,2,3,0.9836065573770492,0.109,9.023913370431643,0.7955925826390756,0.827653856490191
Digits (Low),1,13,87,1,7,0.9885057471264368,0.089,11.106806147488054,0.913589665344319,0.9199979656189602
Digits (Low),1,14,106,1,4,0.9716981132075472,0.107,9.081290777640628,0.8606272647757092,0.9129951268274398
Digits (Low),2,0,100,1,0,1.0,0.1,10.0,0.8219568345323742,0.8395899280575541
Digits (Low),2,1,106,1,4,0.9716981132075472,0.107,9.081290777640628,0.8679182806447583,0.910289891290766
Digits (Low),2,2,37,2,6,1.0,0.1,10.0,0.8631262841789158,0.8997945313734788
Digits (Low),2,3,37,2,6,1.0,0.1,10.0,0.7613402876560771,0.7531215425952268
Digits (Low),2,4,87,1,7,0.9885057471264368,0.089,11.106806147488054,0.9045773573390297,0.9187569931848235
Digits (Low),2,5,63,2,2,1.0,0.095,10.526315789473685,0.8315750915750915,0.8459096459096458
Digits (Low),2,6,38,2,2,0.6842105263157895,0.095,7.202216066481995,0.8500417710944027,0.8539404065719857
Digits (Low),2,7,53,1,1,0.7547169811320755,0.105,7.187780772686434,0.9082599580712788,0.9266247379454925
Digits (Low),2,8,55,2,1,0.9090909090909091,0.105,8.658008658008658,0.8264935064935065,0.8489424860853432
Digits (Low),2,9,86,2,8,0.9534883720930233,0.098,9.729473184622686,0.8921433060967945,0.8764299182903834
Digits (Low),2,10,31,2,5,1.0,0.095,10.526315789473685,0.7712365591397847,0.7997311827956989
Digits (Low),2,11,26,2,5,1.0,0.095,10.526315789473685,0.729059829059829,0.7414529914529915
Digits (Low),2,12,86,1,9,0.8953488372093024,0.102,8.777929776561788,0.8227110831761995,0.8321495914519171
Digits (Low),2,13,35,2,3,1.0,0.109,9.174311926605505,0.7871148459383754,0.7759103641456584
Digits (Low),2,14,60,2,3,0.9833333333333333,0.109,9.021406727828746,0.8007344632768361,0.8222881355932204
Digits (Low),3,0,60,2,0,1.0,0.1,10.0,0.8337288135593219,0.8537570621468925
Digits (Low),3,1,26,2,0,1.0,0.1,10.0,0.7991452991452992,0.8064102564102563
Digits (Low),3,2,30,2,6,1.0,0.1,10.0,0.835014005602241,0.8344537815126052
Digits (Low),3,3,35,2,6,0.9714285714285714,0.1,9.714285714285714,0.8623716153127917,0.895985060690943
Digits (Low),3,4,84,1,7,0.9880952380952381,0.089,11.10219368646335,0.9183355585224743,0.9207498887405431
Digits (Low),3,5,28,2,4,1.0,0.107,9.345794392523365,0.7754120879120878,0.8090659340659341
Digits (Low),3,6,40,2,4,0.975,0.107,9.11214953271028,0.7766746411483254,0.8851674641148326
Digits (Low),3,7,27,2,5,1.0,0.095,10.526315789473685,0.7794057794057794,0.7859177859177859
Digits (Low),3,8,25,2,5,1.0,0.095,10.526315789473685,0.8266666666666667,0.8076923076923077
Digits (Low),3,9,33,3,3,1.0,0.109,9.174311926605505,0.7611408199643493,0.7531194295900178
Digits (Low),3,10,57,3,3,0.9824561403508771,0.109,9.013359085787863,0.830056272757365,0.8180734856007945
Digits (Low),3,11,77,2,9,0.974025974025974,0.102,9.54927425515661,0.8391146487920681,0.8345203183912863
Digits (Low),3,12,67,1,2,0.9701492537313433,0.095,10.21209740769835,0.8369863013698631,0.8455326109180127
Digits (Low),3,13,39,1,2,0.6666666666666666,0.095,7.017543859649122,0.848582995951417,0.8327935222672065
Digits (Low),3,14,54,1,1,0.7407407407407407,0.105,7.054673721340388,0.913002364066194,0.9308116627265565
Digits (Low),3,15,56,2,1,0.8928571428571429,0.105,8.503401360544219,0.8435924369747898,0.8249649859943978
Digits (Low),3,16,87,2,8,0.9425287356321839,0.098,9.61764015951208,0.8866748041908248,0.8777947309531074
Digits (Low),4,0,64,2,0,1.0,0.1,10.0,0.8010727611940298,0.8173973880597015
Digits (Low),4,1,27,2,0,1.0,0.1,10.0,0.827838827838828,0.8380138380138381
Digits (Low),4,2,33,2,6,1.0,0.1,10.0,0.8025846702317291,0.8248663101604279
Digits (Low),4,3,36,2,6,1.0,0.1,10.0,0.8591503267973857,0.8880718954248367
Digits (Low),4,4,92,1,5,0.9782608695652174,0.095,10.297482837528603,0.9050547896783315,0.9154471544715447
Digits (Low),4,5,86,1,7,0.9883720930232558,0.089,11.105304415991638,0.9099622878692645,0.920312172637754
Digits (Low),4,6,106,1,4,0.9716981132075472,0.107,9.081290777640628,0.8710358615519181,0.9108896663751093
Digits (Low),4,7,39,2,2,0.6666666666666666,0.095,7.017543859649122,0.8342780026990553,0.8442645074224021
Digits (Low),4,8,67,2,2,0.9701492537313433,0.095,10.21209740769835,0.8254344714782254,0.8421590676753219
Digits (Low),4,9,73,2,9,0.958904109589041,0.102,9.401020682245502,0.8273166800966961,0.8399516518936342
Digits (Low),4,10,42,3,3,1.0,0.109,9.174311926605505,0.7717391304347826,0.8277432712215322
Digits (Low),4,11,31,3,3,0.967741935483871,0.109,8.878366380585973,0.7201612903225807,0.7228494623655916
Digits (Low),4,12,54,1,1,0.7407407407407407,0.105,7.054673721340388,0.91150512214342,0.9267533490937746
Digits (Low),4,13,85,2,8,0.9411764705882353,0.098,9.603841536614645,0.885105234754452,0.8690987587695628
Digits (Low),4,14,26,2,1,0.9615384615384616,0.105,9.157509157509159,0.8662393162393163,0.8824786324786322
Digits (Low),4,15,26,2,1,0.9615384615384616,0.105,9.157509157509159,0.7897435897435898,0.7952991452991451
