dataset,build,node_id,depth,is_leaf,n_points,k,trustworthiness,continuity,mrre_false,mrre_missing,stress,cadi
Wine quality (Low),0,0,0,False,1000,20,0.9467479112944818,0.9432845281072716,0.9543513050637144,0.960212632301528,0.6102420490807864,0.02471165846583898
Wine quality (Low),0,1,1,False,246,20,0.9149529360722843,0.9265378303435006,0.9220665900588307,0.9390560695522969,0.4663750998152078,0.018569768083522308
Wine quality (Low),0,2,2,True,81,20,0.8597848673756265,0.8923725705903923,0.8664569826607398,0.9010963274248316,0.610954349443059,
Wine quality (Low),0,3,2,False,157,20,0.8718033282142946,0.8811107474635581,0.8941729928501163,0.9090095972890332,0.36326691051363774,0.02747419679582651
Wine quality (Low),0,4,3,False,100,20,0.8864028776978418,0.8791870503597121,0.8958598623925985,0.9041945064180875,0.34467242270634424,0.058648761831877706
Wine quality (Low),0,5,4,True,25,12,0.8138461538461538,0.8317948717948718,0.8219645050551594,0.8356939436098025,0.30851902472923787,
Wine quality (Low),0,6,4,True,25,12,0.7384615384615385,0.7861538461538463,0.7996972377687801,0.8180051499873352,0.40357959854312137,
Wine quality (Low),0,7,3,True,35,17,0.7028944911297852,0.7542483660130721,0.7755781637385334,0.8228416779475436,0.45507817695939984,
Wine quality (Low),0,8,1,False,754,20,0.927057261066984,0.9213973298821855,0.9392996184118103,0.9448049284652951,0.43724944651314646,0.015404488734653728
Wine quality (Low),0,9,2,True,31,15,0.7645161290322581,0.7201612903225806,0.7993558824481032,0.7988955696911106,0.5666644605738095,
Wine quality (Low),0,10,2,True,46,20,0.8699859747545583,0.9131837307152872,0.8764221628644002,0.8992331325961264,0.552656431686005,
Wine quality (Low),0,11,2,True,34,16,0.8403637770897833,0.8581656346749226,0.8639829322817748,0.8733615939041351,0.5265865819377477,
Wine quality (Low),0,12,2,True,33,16,0.7655971479500892,0.8094919786096257,0.835442225212738,0.8461122166823338,0.33609213382521586,
Wine quality (Low),0,13,2,True,49,20,0.8333149476006619,0.8404302261445119,0.8348658109710542,0.8452527390596933,0.35270447291494605,
Wine quality (Low),0,14,2,True,39,19,0.7916329284750337,0.8304993252361674,0.7851953952335944,0.8408652362670045,0.40813321764856075,
Wine quality (Low),0,15,2,True,39,19,0.7411605937921727,0.8183535762483131,0.7733618474979377,0.8300178202349627,0.416892781672215,
Wine quality (Low),0,16,2,True,51,20,0.8057388809182207,0.8134385461501675,0.8361755801447729,0.8530883952249824,0.4117287508049895,
Wine quality (Low),0,17,2,True,44,20,0.8089225589225588,0.8365319865319866,0.820862786529234,0.8528546481418032,0.3443517830732329,
Wine quality (Low),0,18,2,True,69,20,0.8444569922830791,0.8696969696969695,0.8624450675124058,0.875350615534535,0.4084357506835264,
Wine quality (Low),0,19,2,True,76,20,0.820242914979757,0.8444910352805091,0.8413226365582185,0.8752963211139084,0.4253517366421784,
Wine quality (Low),1,0,0,False,1000,20,0.9443194430118618,0.9423605982465187,0.9511272906104535,0.959507187178843,0.5643585730653023,0.01878273792013124
Wine quality (Low),1,1,1,False,246,20,0.91634882010073,0.9261907456661572,0.9217479682219462,0.9393614766411956,0.4671700010144762,0.020010726676025107
Wine quality (Low),1,2,2,False,157,20,0.8742957125953528,0.8864932907026509,0.9004048330406932,0.9131461770903959,0.403178963431577,0.020415479050613423
Wine quality (Low),1,3,3,True,43,20,0.7540465116279069,0.7912558139534882,0.7952842430184286,0.8495521713225331,0.4013557900898803,
Wine quality (Low),1,4,3,True,79,20,0.8257340467179956,0.8537517943364219,0.8588170970482378,0.8796618970104241,0.3637651234161647,
Wine quality (Low),1,5,2,True,78,20,0.8622537112010797,0.886828609986505,0.861366759345625,0.8933282071579655,0.621209461941487,
Wine quality (Low),1,6,1,True,35,17,0.8276377217553689,0.8224089635854342,0.8690113563794027,0.8777007108426712,0.4659227128206226,
Wine quality (Low),1,7,1,False,719,20,0.9199058039740905,0.9242801720698582,0.937472988923027,0.947822111977096,0.4310674657501043,0.021831951938487994
Wine quality (Low),1,8,2,True,47,20,0.893359123146357,0.9270148291424888,0.8790166210631674,0.9090125763836743,0.4115397662091451,
Wine quality (Low),1,9,2,True,32,15,0.7819444444444443,0.8208333333333333,0.7631734034124745,0.8253020260858417,0.3989204979926662,
Wine quality (Low),1,10,2,True,68,20,0.8699411764705882,0.9137058823529411,0.8852613371126796,0.9051962686382911,0.3709517240089368,
Wine quality (Low),1,11,2,True,57,20,0.8393247269116187,0.8641840450182059,0.8571793857997781,0.8747369440069986,0.3896277716061866,
Wine quality (Low),1,12,2,True,37,18,0.7022285443338077,0.7547020704915441,0.8027599499212107,0.8202201644350677,0.40461707692958565,
Wine quality (Low),1,13,2,False,241,20,0.8937355239944412,0.8973181813701817,0.9138267766736679,0.9209938000273757,0.45809449050243206,0.019360789933435603
Wine quality (Low),1,14,3,True,37,18,0.8430535798956851,0.8052789631737001,0.8397287065539534,0.8455218345377962,0.30613074448542327,
Wine quality (Low),1,15,3,True,27,13,0.7570207570207571,0.733007733007733,0.7934791171828884,0.7945446016037471,0.3626562029922569,
Wine quality (Low),1,16,3,True,39,19,0.758029689608637,0.7390013495276654,0.8381589694601089,0.8480373067371704,0.3915362302888575,
Wine quality (Low),1,17,3,True,46,20,0.746704067321178,0.7657784011220198,0.806646597798768,0.8339111429015252,0.3961699779940759,
Wine quality (Low),1,18,2,True,33,16,0.7615864527629234,0.8299910873440286,0.7727626884636275,0.8415227795799541,0.4161592712399559,
Wine quality (Low),1,19,2,True,42,20,0.793167701863354,0.8416149068322982,0.8165344868884743,0.8526694817961451,0.48163295544857776,
Wine quality (Low),1,20,2,True,38,18,0.8689780005569482,0.8809523809523809,0.8830111785362401,0.8842123115486874,0.9798985593001445,
Wine quality (Low),2,0,0,False,1000,20,0.9481915420319752,0.9431053120165034,0.9560269272630426,0.960222788673198,0.5998957225344526,0.02448672888220792
Wine quality (Low),2,1,1,False,246,20,0.9175315488653726,0.9275347556259785,0.9243791089815763,0.9404730009089842,0.46749611877561614,0.013439231324204952
Wine quality (Low),2,2,2,True,71,20,0.8693270735524258,0.8896191966614502,0.8771584372962336,0.8852798648095994,0.4853098361473943,
Wine quality (Low),2,3,2,False,149,20,0.8729787896808541,0.8922832951037861,0.8901035707983068,0.9112997444038393,0.34957327353281453,0.02316737494122016
Wine quality (Low),2,4,3,True,37,18,0.7597597597597597,0.7780938833570412,0.8213891055144165,0.8411137722231345,0.428894562376282,
Wine quality (Low),2,5,3,True,74,20,0.8581702392047219,0.858170239204722,0.8684708482892795,0.8788609687797991,0.3936141657401248,
Wine quality (Low),2,6,1,False,754,20,0.9247761306205651,0.9233556484742053,0.9384497853759847,0.9480353402044747,0.437207708984777,0.016385627221711836
Wine quality (Low),2,7,2,False,639,20,0.9158469671310068,0.9167597018245693,0.934513120382453,0.9422227972945478,0.44464582835393757,0.018962542437288853
Wine quality (Low),2,8,3,True,45,20,0.8476628352490423,0.8814559386973181,0.8328403915589345,0.853591524394121,0.333607321729578,
Wine quality (Low),2,9,3,True,48,20,0.8458928571428572,0.868095238095238,0.8645291061639132,0.865617462376503,0.3760941666132325,
Wine quality (Low),2,10,3,True,33,16,0.8021390374331552,0.8471479500891267,0.8348200551862395,0.8824845682389396,0.48618249439538763,
Wine quality (Low),2,11,3,True,33,16,0.7807486631016043,0.823752228163993,0.7531184530140335,0.8232420028374379,0.4051659845939984,
Wine quality (Low),2,12,3,True,48,20,0.8117857142857142,0.8545238095238096,0.8091958573148165,0.8533853455422126,0.4511595627730552,
Wine quality (Low),2,13,3,True,63,20,0.8571916971916971,0.8687667887667888,0.8747665460285373,0.8902009493087241,0.519935683857567,
Wine quality (Low),2,14,3,True,31,15,0.7268817204301075,0.8024193548387097,0.8197663631460724,0.8494640290147534,0.341933118903989,
Wine quality (Low),2,15,3,True,50,20,0.8700512820512819,0.8379487179487178,0.9058899301655149,0.8999268803634487,1.02853751683482,
Wine quality (Low),2,16,3,True,49,20,0.8324324324324326,0.8313844456701601,0.8656571295954728,0.8765945387131178,0.3842325698339103,
