dataset,build,n_rows,degenerate,realized_depth,cap_censored,n_leaves,median_leaf_size,min_leaf_size,max_leaf_size,noise_fraction,n_leaves_scored,n_leaves_predicated
Breast cancer (Low),0,569,False,3,False,9,37.0,26,57,0.4253075571177505,9,9
Breast cancer (Low),1,569,False,3,False,7,27.0,25,59,0.5905096660808435,7,7
Breast cancer (Low),2,569,False,4,True,8,41.0,27,98,0.3216168717047452,8,8
Breast cancer (Low),3,569,False,3,False,7,30.0,25,67,0.5184534270650263,7,7
Breast cancer (Low),4,569,False,3,False,6,54.5,29,95,0.4007029876977153,6,6
Digits (Low),0,1000,False,3,False,16,52.5,27,106,0.10499999999999998,16,16
Digits (Low),1,1000,False,2,False,15,60.0,25,106,0.08599999999999997,15,15
Digits (Low),2,1000,False,2,False,15,55.0,26,106,0.09999999999999998,15,15
Digits (Low),3,1000,False,3,False,17,40.0,25,87,0.17500000000000004,17,17
Digits (Low),4,1000,False,3,False,16,48.0,26,106,0.11299999999999999,16,16
Wine quality (Low),0,1000,False,4,True,15,39.0,25,81,0.32299999999999995,15,15
Wine quality (Low),1,1000,False,3,False,16,40.5,27,79,0.262,16,16
Wine quality (Low),2,1000,False,3,False,16,47.0,31,74,0.253,16,16
Wine quality (Low),3,1000,False,3,False,17,37.0,25,115,0.20399999999999996,17,17
Wine quality (Low),4,1000,False,4,True,15,40.0,26,105,0.29200000000000004,15,15
