build_seconds,dbcv_leaf,dbcv_status,dbcv_leaf_noisefree,tnc_mean,n_scored_nodes,scored_coverage,zero_embed_nodes,n_leaves,median_leaf_size,min_leaf_size,noise_frac,preclustering_skipped,n_rows,n_features,ari,ami,ari_depth1,exception,degenerate,dataset,arm,trial,p_hierarchical_layers,p_hclust_umap_n_components,p_hclust_min_cluster_size,p_hclust_min_samples,p_umap_n_neighbors,p_umap_min_dist,p_method,p_tsne_perplexity,p_tsne_learning_rate,p_mds_n_init,p_mds_max_iter
12.761435270309448,0.37295314565308096,ok,0.37295314565308096,0.9623952648482369,3,1.0,0,2,75.0,50,0.0,False,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,0,3,3,27,26,12,0.07799726016810132,UMAP,,,,
13.325102806091309,0.37295314565308096,ok,0.37295314565308096,0.9637222654189869,3,1.0,0,2,75.0,50,0.0,False,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,1,3,2,21,20,13,0.09170225492671691,UMAP,,,,
13.29610562324524,0.37295314565308096,ok,0.37295314565308096,0.9678231776305156,3,1.0,0,2,75.0,50,0.0,False,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,2,1,3,31,6,25,0.3925879806965068,t-SNE,32.339518335564726,178.8188824504186,,
1.2526986598968506,0.5629547461191043,ok,0.5896552727284332,0.9785918199776088,3,1.0,0,2,72.0,48,0.04,True,150,4,0.5681548473726379,0.7315567180518469,0.5681548473726379,,False,Iris (Low),trial,3,3,4,22,21,19,0.048836057003191935,PCA,,,,
13.362890481948853,0.37295314565308096,ok,0.37295314565308096,0.7291089231126281,3,1.0,0,2,75.0,50,0.0,False,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,4,1,3,22,20,19,0.2600340105889054,t-SNE,47.27745237038851,895.8790769233724,,
13.150835514068604,0.37295314565308096,ok,0.37295314565308096,0.876750834367027,3,1.0,0,2,75.0,50,0.0,False,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,5,1,2,31,29,7,0.16266516538163217,t-SNE,17.642052935932135,547.269122326666,,
12.439547538757324,0.5629547461191043,ok,0.5896552727284332,0.9717856973383278,3,1.0,0,2,72.0,48,0.04,True,150,4,0.5681548473726379,0.7315567180518469,0.5681548473726379,,False,Iris (Low),trial,6,1,4,23,19,40,0.0993578407670862,UMAP,,,,
11.687471389770508,0.37295314565308096,ok,0.37295314565308096,0.9795658793166346,3,1.0,0,2,75.0,50,0.0,False,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,7,2,2,34,4,44,0.31164906341377896,PCA,,,,
13.59598422050476,0.37295314565308096,ok,0.37295314565308096,0.8813623204345563,3,1.0,0,2,75.0,50,0.0,False,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,8,3,3,33,22,10,0.3566223936114975,t-SNE,28.522977322189732,433.26560817496414,,
12.474376440048218,0.37295314565308096,ok,0.37295314565308096,0.9795658793166346,3,1.0,0,2,75.0,50,0.0,False,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,9,1,3,21,3,19,0.2542853455823514,PCA,,,,
1.5839040279388428,0.5854852469331246,ok,0.5870586441841944,0.980280558321716,3,1.0,0,2,73.0,48,0.02666666666666667,True,150,4,0.5631542368880239,0.7292332176962485,0.5631542368880239,,False,Iris (Low),trial,10,2,4,37,16,34,0.4538323976412588,MDS,,,2.0,275.0
1.7193257808685303,0.5854852469331246,ok,0.5870586441841944,0.980280558321716,3,1.0,0,2,73.0,48,0.02666666666666667,True,150,4,0.5631542368880239,0.7292332176962485,0.5631542368880239,,False,Iris (Low),trial,11,2,4,37,16,34,0.49575391119557377,MDS,,,2.0,300.0
1.6208446025848389,0.5854852469331246,ok,0.5870586441841944,0.980280558321716,3,1.0,0,2,73.0,48,0.02666666666666667,True,150,4,0.5631542368880239,0.7292332176962485,0.5631542368880239,,False,Iris (Low),trial,12,2,4,36,15,34,0.43591039494816297,MDS,,,2.0,297.0
1.7905499935150146,0.5854852469331246,ok,0.5870586441841944,0.9816322837780618,3,1.0,0,2,73.0,48,0.02666666666666667,True,150,4,0.5631542368880239,0.7292332176962485,0.5631542368880239,,False,Iris (Low),trial,13,2,4,37,16,48,0.1794195196505171,MDS,,,4.0,65.0
1.7887508869171143,0.5854852469331246,ok,0.5870586441841944,0.9816768168103801,3,1.0,0,2,73.0,48,0.02666666666666667,True,150,4,0.5631542368880239,0.7292332176962485,0.5631542368880239,,False,Iris (Low),trial,14,2,4,37,14,50,0.18789950411912265,MDS,,,4.0,66.0
1.7954249382019043,0.5629547461191043,ok,0.5896552727284332,0.9767130333098288,3,1.0,0,2,72.0,48,0.04,True,150,4,0.5681548473726379,0.7315567180518469,0.5681548473726379,,False,Iris (Low),trial,15,2,4,34,20,48,0.18000874652547794,MDS,,,4.0,56.0
1.682725429534912,0.37295314565308096,ok,0.37295314565308096,0.981716163995534,3,1.0,0,2,75.0,50,0.0,True,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,16,2,4,27,8,49,0.1788941727273105,MDS,,,4.0,63.0
13.41718339920044,-0.018511398189658572,ok,0.07983749992362779,0.9841543902218817,5,1.0,0,3,36.0,29,0.23333333333333334,False,150,4,0.8803454140736444,0.8463792969355918,0.5681159420289855,,False,Iris (Low),trial,17,2,3,26,7,41,0.2670186019189884,MDS,,,4.0,125.0
1.7434241771697998,0.37295314565308096,ok,0.37295314565308096,0.9820922586190828,3,1.0,0,2,75.0,50,0.0,True,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,18,3,4,28,8,49,0.22031122361945285,MDS,,,3.0,120.0
1.782418966293335,0.5854852469331246,ok,0.5870586441841944,0.9816637782763645,3,1.0,0,2,73.0,48,0.02666666666666667,True,150,4,0.5631542368880239,0.7292332176962485,0.5631542368880239,,False,Iris (Low),trial,19,3,4,31,18,43,0.010871181319086903,MDS,,,3.0,132.0
12.425212383270264,-0.12815665219859323,ok,-0.13582401787309129,0.9740414001575786,5,1.0,0,3,50.0,36,0.006666666666666667,False,150,4,0.7042242015461236,0.7398920268747151,0.5681159420289855,,False,Iris (Low),trial,20,3,3,28,2,38,0.12803475957773885,PCA,,,,
13.4295494556427,-0.08438233199884546,ok,-0.011409195605116107,0.9860825843997321,5,1.0,0,3,43.0,42,0.1,False,150,4,0.9190509410772126,0.8894144608607043,0.5681159420289855,,False,Iris (Low),trial,21,2,3,25,6,45,0.24474395438686747,MDS,,,3.0,135.0
13.812945365905762,0.37295314565308096,ok,0.37295314565308096,0.9754823052131428,3,1.0,0,2,75.0,50,0.0,False,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,22,2,2,30,10,50,0.2191043427464101,MDS,,,1.0,116.0
12.971251010894775,0.37295314565308096,ok,0.37295314565308096,0.9682081057533308,3,1.0,0,2,75.0,50,0.0,False,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,23,2,3,25,17,40,0.28111436121245914,UMAP,,,,
1.8052923679351807,0.5802404118143141,ok,0.5880814984604534,0.9821597858964225,3,1.0,0,2,74.0,50,0.013333333333333334,True,150,4,0.5732137135533483,0.733897220251618,0.5732137135533483,,False,Iris (Low),trial,24,2,4,33,11,26,0.13716764361860403,MDS,,,3.0,208.0
2.1898841857910156,0.5854852469331246,ok,0.5870586441841944,0.9815869505192394,3,1.0,0,2,73.0,48,0.02666666666666667,True,150,4,0.5631542368880239,0.7292332176962485,0.5631542368880239,,False,Iris (Low),trial,25,2,4,35,18,27,0.12397029290892714,MDS,,,4.0,214.0
2.101135730743408,0.5854852469331246,ok,0.5870586441841944,0.9815869505192394,3,1.0,0,2,73.0,48,0.02666666666666667,True,150,4,0.5631542368880239,0.7292332176962485,0.5631542368880239,,False,Iris (Low),trial,26,2,4,32,16,28,0.33534805023453246,MDS,,,3.0,187.0
12.90259337425232,0.37295314565308096,ok,0.37295314565308096,0.9816943993083417,3,1.0,0,2,75.0,50,0.0,False,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,27,1,3,36,13,45,0.14667289392017238,MDS,,,4.0,96.0
