fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,row_id,x,y,reduction_method,reduction_config
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,6,29,11.88157,1.918022,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,6,36,12.457759,2.9141629,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,6,69,8.950902,1.8138534,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,6,70,8.58716,5.21859,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,99,9.409348,5.6288366,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,6,101,11.942631,4.089314,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,102,9.4882765,5.6833987,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,6,117,8.519576,5.2760406,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,118,10.450493,2.9235513,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,121,10.442234,2.94781,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
